,Robust,Stable,Classification
0,Yes,Yes,{0}
1,Yes,Yes,{0}
2,Yes,Yes,{1}
3,No,Yes,{0}
4,Yes,Yes,{0}
5,Yes,Yes,{1}
6,Yes,Yes,{0}
7,Yes,Yes,{0}
8,No,Yes,{0}
9,No,Yes,{1}
10,Yes,Yes,{0}
11,Do not know,Do not know,"{0, 1}"
12,Yes,Yes,{1}
13,Yes,Yes,{0}
14,Do not know,Do not know,"{0, 1}"
15,Yes,Yes,{0}
16,Yes,Yes,{1}
17,Yes,Yes,{0}
18,Yes,Yes,{0}
19,Yes,Yes,{0}
20,No,Yes,{0}
21,Yes,Yes,{0}
22,Yes,Yes,{0}
23,Do not know,Do not know,"{0, 1}"
24,Yes,Yes,{0}
25,Yes,Yes,{1}
26,Yes,Yes,{0}
27,Yes,Yes,{0}
28,Yes,Yes,{0}
29,Yes,Yes,{0}
30,No,Yes,{0}
31,Yes,Yes,{0}
32,Yes,Yes,{0}
33,Yes,Yes,{0}
34,Yes,Yes,{1}
35,Do not know,Do not know,"{0, 1}"
36,Yes,Yes,{0}
37,Yes,Yes,{0}
38,Yes,Yes,{0}
39,Yes,Yes,{1}
40,Yes,Yes,{0}
41,Do not know,Do not know,"{0, 1}"
42,Yes,Yes,{0}
43,Yes,Yes,{0}
44,Yes,Yes,{0}
45,Yes,Yes,{0}
46,Yes,Yes,{0}
47,No,Yes,{0}
48,Yes,Yes,{0}
49,Yes,Yes,{0}
50,Yes,Yes,{0}
51,Yes,Yes,{1}
52,Do not know,Do not know,"{0, 1}"
53,Yes,Yes,{0}
54,Yes,Yes,{0}
55,Yes,Yes,{0}
56,Do not know,Do not know,"{0, 1}"
57,Yes,Yes,{0}
58,Yes,Yes,{0}
59,Do not know,Do not know,"{0, 1}"
60,Yes,Yes,{0}
61,Yes,Yes,{0}
62,Do not know,Do not know,"{0, 1}"
63,Yes,Yes,{1}
64,No,Yes,{1}
65,Yes,Yes,{0}
66,Yes,Yes,{0}
67,Do not know,Do not know,"{0, 1}"
68,Yes,Yes,{0}
69,Yes,Yes,{0}
70,Do not know,Do not know,"{0, 1}"
71,Yes,Yes,{0}
72,Do not know,Do not know,"{0, 1}"
73,Yes,Yes,{0}
74,Yes,Yes,{0}
75,Yes,Yes,{0}
76,Yes,Yes,{0}
77,Yes,Yes,{0}
78,Yes,Yes,{1}
79,Yes,Yes,{0}
80,Do not know,Do not know,"{0, 1}"
81,Yes,Yes,{0}
82,Yes,Yes,{1}
83,Yes,Yes,{0}
84,Yes,Yes,{0}
85,Yes,Yes,{0}
86,Yes,Yes,{0}
87,Yes,Yes,{0}
88,Yes,Yes,{1}
89,Yes,Yes,{0}
90,Yes,Yes,{0}
91,Yes,Yes,{0}
92,Yes,Yes,{0}
93,Yes,Yes,{0}
94,Yes,Yes,{0}
95,Yes,Yes,{0}
96,Yes,Yes,{0}
97,Yes,Yes,{0}
98,Yes,Yes,{0}
99,Yes,Yes,{0}
100,Yes,Yes,{0}
101,No,Yes,{0}
102,Yes,Yes,{0}
103,Yes,Yes,{0}
104,Yes,Yes,{0}
105,Yes,Yes,{0}
106,Yes,Yes,{0}
107,Do not know,Do not know,"{0, 1}"
108,Yes,Yes,{0}
109,Yes,Yes,{0}
110,Yes,Yes,{0}
111,Yes,Yes,{0}
112,Yes,Yes,{0}
113,Yes,Yes,{0}
114,Yes,Yes,{1}
115,Yes,Yes,{0}
116,No,Yes,{0}
117,Yes,Yes,{1}
118,Yes,Yes,{0}
119,Yes,Yes,{0}
120,Yes,Yes,{1}
121,Yes,Yes,{0}
122,Yes,Yes,{0}
123,No,Yes,{0}
124,Yes,Yes,{0}
125,Yes,Yes,{0}
126,Yes,Yes,{0}
127,No,Yes,{1}
128,Yes,Yes,{0}
129,Do not know,Do not know,"{0, 1}"
130,Yes,Yes,{1}
131,Yes,Yes,{0}
132,Yes,Yes,{0}
133,Do not know,Do not know,"{0, 1}"
134,No,Yes,{0}
135,Yes,Yes,{1}
136,Yes,Yes,{0}
137,Yes,Yes,{0}
138,Yes,Yes,{0}
139,Yes,Yes,{0}
140,Yes,Yes,{0}
141,Yes,Yes,{1}
142,Yes,Yes,{0}
143,Yes,Yes,{0}
144,Yes,Yes,{0}
145,Yes,Yes,{0}
146,Yes,Yes,{0}
147,Yes,Yes,{0}
148,Yes,Yes,{0}
149,Yes,Yes,{0}
150,Yes,Yes,{0}
151,Yes,Yes,{1}
152,No,Yes,{0}
153,No,Yes,{0}
154,Do not know,Do not know,"{0, 1}"
155,Yes,Yes,{0}
156,Yes,Yes,{0}
157,Yes,Yes,{1}
158,Yes,Yes,{0}
159,Yes,Yes,{0}
160,Do not know,Do not know,"{0, 1}"
161,Yes,Yes,{0}
162,Yes,Yes,{1}
163,Yes,Yes,{0}
164,Yes,Yes,{0}
165,Yes,Yes,{1}
166,No,Yes,{0}
167,Yes,Yes,{0}
168,Yes,Yes,{1}
169,Yes,Yes,{0}
170,Yes,Yes,{0}
171,Yes,Yes,{0}
172,Yes,Yes,{0}
173,Yes,Yes,{0}
174,Yes,Yes,{1}
175,No,Yes,{0}
176,Yes,Yes,{0}
177,Yes,Yes,{0}
178,Yes,Yes,{0}
179,Yes,Yes,{0}
180,Yes,Yes,{1}
181,Yes,Yes,{0}
182,No,Yes,{0}
183,Yes,Yes,{1}
184,No,Yes,{1}
185,Yes,Yes,{0}
186,Yes,Yes,{0}
187,Yes,Yes,{1}
188,No,Yes,{1}
189,Yes,Yes,{0}
190,Yes,Yes,{0}
191,Yes,Yes,{1}
192,No,Yes,{0}
193,Yes,Yes,{0}
194,Yes,Yes,{0}
195,Yes,Yes,{0}
196,Yes,Yes,{0}
197,Yes,Yes,{0}
198,Yes,Yes,{0}
199,Yes,Yes,{0}
200,Yes,Yes,{0}
201,Yes,Yes,{0}
202,Yes,Yes,{0}
203,No,Yes,{1}
204,Yes,Yes,{0}
205,Yes,Yes,{0}
206,Yes,Yes,{1}
207,No,Yes,{0}
208,Yes,Yes,{0}
209,Yes,Yes,{1}
210,No,Yes,{1}
211,Yes,Yes,{0}
212,No,Yes,{1}
213,Yes,Yes,{0}
214,No,Yes,{0}
215,Yes,Yes,{0}
216,Yes,Yes,{0}
217,Do not know,Do not know,"{0, 1}"
218,Yes,Yes,{0}
219,Yes,Yes,{0}
220,Yes,Yes,{0}
221,Yes,Yes,{0}
222,Yes,Yes,{0}
223,Yes,Yes,{0}
224,Yes,Yes,{0}
225,Yes,Yes,{0}
226,Yes,Yes,{0}
227,Yes,Yes,{0}
228,No,Yes,{0}
229,Yes,Yes,{0}
230,Yes,Yes,{0}
231,Yes,Yes,{0}
232,No,Yes,{0}
233,Yes,Yes,{0}
234,Yes,Yes,{0}
235,Yes,Yes,{0}
236,Yes,Yes,{0}
237,Yes,Yes,{0}
238,No,Yes,{1}
239,No,Yes,{1}
240,Yes,Yes,{0}
241,Yes,Yes,{0}
242,Yes,Yes,{0}
243,Do not know,Do not know,"{0, 1}"
244,No,Yes,{0}
245,Yes,Yes,{0}
246,Yes,Yes,{0}
247,No,Yes,{1}
248,No,Yes,{0}
249,Yes,Yes,{1}
250,Yes,Yes,{0}
251,Yes,Yes,{0}
252,Yes,Yes,{0}
253,Yes,Yes,{0}
254,Yes,Yes,{1}
255,Yes,Yes,{0}
256,No,Yes,{0}
257,No,Yes,{0}
258,Yes,Yes,{0}
259,Yes,Yes,{0}
260,No,Yes,{1}
261,Yes,Yes,{0}
262,Yes,Yes,{0}
263,No,Yes,{0}
264,Yes,Yes,{0}
265,Yes,Yes,{0}
266,Do not know,Do not know,"{0, 1}"
267,Yes,Yes,{0}
268,Yes,Yes,{0}
269,Yes,Yes,{0}
270,Yes,Yes,{0}
271,Yes,Yes,{0}
272,No,Yes,{0}
273,Yes,Yes,{0}
274,No,Yes,{0}
275,Yes,Yes,{0}
276,No,Yes,{0}
277,Yes,Yes,{0}
278,Yes,Yes,{0}
279,Yes,Yes,{0}
280,Yes,Yes,{0}
281,Yes,Yes,{0}
282,Yes,Yes,{0}
283,Yes,Yes,{1}
284,Yes,Yes,{0}
285,Yes,Yes,{1}
286,Yes,Yes,{0}
287,Yes,Yes,{0}
288,Do not know,Do not know,"{0, 1}"
289,No,Yes,{1}
290,No,Yes,{0}
291,Yes,Yes,{0}
