,Robust,Stable,Classification
0,Yes,Yes,{0}
1,Yes,Yes,{0}
2,Do not know,Do not know,"{0, 1}"
3,No,Yes,{0}
4,Yes,Yes,{0}
5,Do not know,Do not know,"{0, 1}"
6,Yes,Yes,{0}
7,Yes,Yes,{0}
8,Do not know,Do not know,"{0, 1}"
9,No,Yes,{1}
10,Yes,Yes,{0}
11,Do not know,Do not know,"{0, 1}"
12,Do not know,Do not know,"{0, 1}"
13,Yes,Yes,{0}
14,Do not know,Do not know,"{0, 1}"
15,Yes,Yes,{0}
16,Do not know,Do not know,"{0, 1}"
17,Yes,Yes,{0}
18,Do not know,Do not know,"{0, 1}"
19,Do not know,Do not know,"{0, 1}"
20,Do not know,Do not know,"{0, 1}"
21,Yes,Yes,{0}
22,Yes,Yes,{0}
23,Do not know,Do not know,"{0, 1}"
24,Yes,Yes,{0}
25,Do not know,Do not know,"{0, 1}"
26,Yes,Yes,{0}
27,Yes,Yes,{0}
28,Do not know,Do not know,"{0, 1}"
29,Yes,Yes,{0}
30,Do not know,Do not know,"{0, 1}"
31,Yes,Yes,{0}
32,Yes,Yes,{0}
33,Yes,Yes,{0}
34,Do not know,Do not know,"{0, 1}"
35,Yes,Yes,{1}
36,Yes,Yes,{0}
37,Yes,Yes,{0}
38,Yes,Yes,{0}
39,Do not know,Do not know,"{0, 1}"
40,Yes,Yes,{0}
41,Do not know,Do not know,"{0, 1}"
42,Yes,Yes,{0}
43,Do not know,Do not know,"{0, 1}"
44,Yes,Yes,{0}
45,Yes,Yes,{0}
46,Yes,Yes,{0}
47,No,Yes,{0}
48,Yes,Yes,{0}
49,Yes,Yes,{0}
50,Do not know,Do not know,"{0, 1}"
51,Yes,Yes,{1}
52,Do not know,Do not know,"{0, 1}"
53,Do not know,Do not know,"{0, 1}"
54,Do not know,Do not know,"{0, 1}"
55,Yes,Yes,{0}
56,Do not know,Do not know,"{0, 1}"
57,Yes,Yes,{0}
58,Yes,Yes,{0}
59,Do not know,Do not know,"{0, 1}"
60,Yes,Yes,{0}
61,Yes,Yes,{0}
62,Do not know,Do not know,"{0, 1}"
63,Do not know,Do not know,"{0, 1}"
64,Do not know,Do not know,"{0, 1}"
65,Yes,Yes,{0}
66,Yes,Yes,{0}
67,Do not know,Do not know,"{0, 1}"
68,Do not know,Do not know,"{0, 1}"
69,Do not know,Do not know,"{0, 1}"
70,Do not know,Do not know,"{0, 1}"
71,Yes,Yes,{0}
72,Do not know,Do not know,"{0, 1}"
73,Yes,Yes,{0}
74,Yes,Yes,{0}
75,Do not know,Do not know,"{0, 1}"
76,Yes,Yes,{0}
77,Yes,Yes,{0}
78,Do not know,Do not know,"{0, 1}"
79,Yes,Yes,{0}
80,Do not know,Do not know,"{0, 1}"
81,Yes,Yes,{0}
82,Yes,Yes,{1}
83,Yes,Yes,{0}
84,Yes,Yes,{0}
85,Yes,Yes,{0}
86,Yes,Yes,{0}
87,Yes,Yes,{0}
88,Do not know,Do not know,"{0, 1}"
89,Yes,Yes,{0}
90,Yes,Yes,{0}
91,Yes,Yes,{0}
92,Yes,Yes,{0}
93,Yes,Yes,{0}
94,Yes,Yes,{0}
95,Do not know,Do not know,"{0, 1}"
96,Yes,Yes,{0}
97,Yes,Yes,{0}
98,Yes,Yes,{0}
99,Yes,Yes,{0}
100,Do not know,Do not know,"{0, 1}"
101,Do not know,Do not know,"{0, 1}"
102,Yes,Yes,{0}
103,Yes,Yes,{0}
104,Do not know,Do not know,"{0, 1}"
105,Yes,Yes,{0}
106,Yes,Yes,{0}
107,Do not know,Do not know,"{0, 1}"
108,Yes,Yes,{0}
109,Yes,Yes,{0}
110,Yes,Yes,{0}
111,Yes,Yes,{0}
112,Yes,Yes,{0}
113,Yes,Yes,{0}
114,Yes,Yes,{1}
115,Yes,Yes,{0}
116,No,Yes,{0}
117,Yes,Yes,{1}
118,Yes,Yes,{0}
119,Yes,Yes,{0}
120,Yes,Yes,{1}
121,Yes,Yes,{0}
122,Yes,Yes,{0}
123,Do not know,Do not know,"{0, 1}"
124,Yes,Yes,{0}
125,Do not know,Do not know,"{0, 1}"
126,Yes,Yes,{0}
127,Do not know,Do not know,"{0, 1}"
128,Yes,Yes,{0}
129,Do not know,Do not know,"{0, 1}"
130,Yes,Yes,{1}
131,Yes,Yes,{0}
132,Yes,Yes,{0}
133,Do not know,Do not know,"{0, 1}"
134,Do not know,Do not know,"{0, 1}"
135,Yes,Yes,{1}
136,Yes,Yes,{0}
137,Yes,Yes,{0}
138,Do not know,Do not know,"{0, 1}"
139,Yes,Yes,{0}
140,Yes,Yes,{0}
141,Do not know,Do not know,"{0, 1}"
142,Yes,Yes,{0}
143,Yes,Yes,{0}
144,Yes,Yes,{0}
145,Yes,Yes,{0}
146,Yes,Yes,{0}
147,Yes,Yes,{0}
148,Do not know,Do not know,"{0, 1}"
149,Do not know,Do not know,"{0, 1}"
150,Yes,Yes,{0}
151,Do not know,Do not know,"{0, 1}"
152,Do not know,Do not know,"{0, 1}"
153,Do not know,Do not know,"{0, 1}"
154,Do not know,Do not know,"{0, 1}"
155,Yes,Yes,{0}
156,Yes,Yes,{0}
157,Yes,Yes,{1}
158,Do not know,Do not know,"{0, 1}"
159,Yes,Yes,{0}
160,Do not know,Do not know,"{0, 1}"
161,Yes,Yes,{0}
162,Do not know,Do not know,"{0, 1}"
163,Do not know,Do not know,"{0, 1}"
164,Do not know,Do not know,"{0, 1}"
165,Do not know,Do not know,"{0, 1}"
166,No,Yes,{0}
167,Yes,Yes,{0}
168,Yes,Yes,{1}
169,Yes,Yes,{0}
170,Yes,Yes,{0}
171,Yes,Yes,{0}
172,Yes,Yes,{0}
173,Yes,Yes,{0}
174,Yes,Yes,{1}
175,No,Yes,{0}
176,Yes,Yes,{0}
177,Yes,Yes,{0}
178,Yes,Yes,{0}
179,Yes,Yes,{0}
180,Yes,Yes,{1}
181,Yes,Yes,{0}
182,Do not know,Do not know,"{0, 1}"
183,Do not know,Do not know,"{0, 1}"
184,No,Yes,{1}
185,Yes,Yes,{0}
186,Yes,Yes,{0}
187,Do not know,Do not know,"{0, 1}"
188,Do not know,Do not know,"{0, 1}"
189,Yes,Yes,{0}
190,Yes,Yes,{0}
191,Do not know,Do not know,"{0, 1}"
192,Do not know,Do not know,"{0, 1}"
193,Yes,Yes,{0}
194,Yes,Yes,{0}
195,Yes,Yes,{0}
196,Do not know,Do not know,"{0, 1}"
197,Yes,Yes,{0}
198,Do not know,Do not know,"{0, 1}"
199,Yes,Yes,{0}
200,Yes,Yes,{0}
201,Yes,Yes,{0}
202,Yes,Yes,{0}
203,No,Yes,{1}
204,Yes,Yes,{0}
205,Yes,Yes,{0}
206,Do not know,Do not know,"{0, 1}"
207,No,Yes,{0}
208,Do not know,Do not know,"{0, 1}"
209,Do not know,Do not know,"{0, 1}"
210,No,Yes,{1}
211,Yes,Yes,{0}
212,Do not know,Do not know,"{0, 1}"
213,Yes,Yes,{0}
214,Do not know,Do not know,"{0, 1}"
215,Yes,Yes,{0}
216,Yes,Yes,{0}
217,Do not know,Do not know,"{0, 1}"
218,Yes,Yes,{0}
219,Yes,Yes,{0}
220,Do not know,Do not know,"{0, 1}"
221,Yes,Yes,{0}
222,Yes,Yes,{0}
223,Yes,Yes,{0}
224,Yes,Yes,{0}
225,Yes,Yes,{0}
226,Do not know,Do not know,"{0, 1}"
227,Do not know,Do not know,"{0, 1}"
228,Do not know,Do not know,"{0, 1}"
229,Do not know,Do not know,"{0, 1}"
230,Yes,Yes,{0}
231,Yes,Yes,{0}
232,Do not know,Do not know,"{0, 1}"
233,Yes,Yes,{0}
234,Yes,Yes,{0}
235,Yes,Yes,{0}
236,Yes,Yes,{0}
237,Yes,Yes,{0}
238,No,Yes,{1}
239,Do not know,Do not know,"{0, 1}"
240,Yes,Yes,{0}
241,Yes,Yes,{0}
242,Yes,Yes,{0}
243,Do not know,Do not know,"{0, 1}"
244,Do not know,Do not know,"{0, 1}"
245,Yes,Yes,{0}
246,Yes,Yes,{0}
247,Do not know,Do not know,"{0, 1}"
248,Do not know,Do not know,"{0, 1}"
249,Do not know,Do not know,"{0, 1}"
250,Yes,Yes,{0}
251,Yes,Yes,{0}
252,Yes,Yes,{0}
253,Yes,Yes,{0}
254,Do not know,Do not know,"{0, 1}"
