,Robust,Stable,Classification
0,Yes,Yes,{2.0}
1,No,Yes,{4.0}
2,Yes,Yes,{2.0}
3,Do not know,Do not know,"{2.0, 4.0}"
4,Yes,Yes,{2.0}
5,Yes,Yes,{4.0}
6,Do not know,Do not know,"{2.0, 4.0}"
7,Yes,Yes,{2.0}
8,Yes,Yes,{2.0}
9,Yes,Yes,{2.0}
10,Yes,Yes,{2.0}
11,Yes,Yes,{2.0}
12,Do not know,Do not know,"{2.0, 4.0}"
13,Yes,Yes,{2.0}
14,Yes,Yes,{4.0}
15,Do not know,Do not know,"{2.0, 4.0}"
16,Yes,Yes,{2.0}
17,Yes,Yes,{2.0}
18,Yes,Yes,{4.0}
19,Yes,Yes,{2.0}
20,Yes,Yes,{4.0}
21,Yes,Yes,{4.0}
22,Yes,Yes,{2.0}
23,Yes,Yes,{2.0}
24,Do not know,Do not know,"{2.0, 4.0}"
25,Yes,Yes,{2.0}
26,Yes,Yes,{2.0}
27,Yes,Yes,{2.0}
28,Yes,Yes,{2.0}
29,Yes,Yes,{2.0}
30,Yes,Yes,{2.0}
31,Yes,Yes,{4.0}
32,Yes,Yes,{2.0}
33,Yes,Yes,{2.0}
34,Yes,Yes,{2.0}
35,Yes,Yes,{4.0}
36,Yes,Yes,{2.0}
37,Yes,Yes,{4.0}
38,Do not know,Do not know,"{2.0, 4.0}"
39,Do not know,Do not know,"{2.0, 4.0}"
40,Yes,Yes,{4.0}
41,Do not know,Do not know,"{2.0, 4.0}"
42,Yes,Yes,{4.0}
43,Yes,Yes,{2.0}
44,Yes,Yes,{4.0}
45,Yes,Yes,{2.0}
46,Yes,Yes,{2.0}
47,Yes,Yes,{4.0}
48,Do not know,Do not know,"{2.0, 4.0}"
49,Do not know,Do not know,"{2.0, 4.0}"
50,Yes,Yes,{4.0}
51,Yes,Yes,{4.0}
52,Yes,Yes,{4.0}
53,Do not know,Do not know,"{2.0, 4.0}"
54,Yes,Yes,{4.0}
55,Do not know,Do not know,"{2.0, 4.0}"
56,Yes,Yes,{4.0}
57,Do not know,Do not know,"{2.0, 4.0}"
58,Do not know,Do not know,"{2.0, 4.0}"
59,Yes,Yes,{2.0}
60,Yes,Yes,{4.0}
61,Do not know,Do not know,"{2.0, 4.0}"
62,Yes,Yes,{2.0}
63,Do not know,Do not know,"{2.0, 4.0}"
64,Yes,Yes,{2.0}
65,Do not know,Do not know,"{2.0, 4.0}"
66,Yes,Yes,{4.0}
67,Yes,Yes,{2.0}
68,Yes,Yes,{2.0}
69,Yes,Yes,{4.0}
70,Yes,Yes,{2.0}
71,Yes,Yes,{4.0}
72,Do not know,Do not know,"{2.0, 4.0}"
73,Yes,Yes,{2.0}
74,Yes,Yes,{2.0}
75,Yes,Yes,{2.0}
76,Yes,Yes,{2.0}
77,Yes,Yes,{2.0}
78,Yes,Yes,{2.0}
79,Yes,Yes,{2.0}
80,Yes,Yes,{2.0}
81,Yes,Yes,{2.0}
82,Yes,Yes,{4.0}
83,Yes,Yes,{4.0}
84,Do not know,Do not know,"{2.0, 4.0}"
85,Yes,Yes,{4.0}
86,Yes,Yes,{2.0}
87,Yes,Yes,{2.0}
88,Yes,Yes,{2.0}
89,Yes,Yes,{2.0}
90,Yes,Yes,{2.0}
91,Yes,Yes,{2.0}
92,Yes,Yes,{2.0}
93,Yes,Yes,{2.0}
94,Yes,Yes,{2.0}
95,Yes,Yes,{2.0}
96,Yes,Yes,{4.0}
97,Yes,Yes,{4.0}
98,Do not know,Do not know,"{2.0, 4.0}"
99,Do not know,Do not know,"{2.0, 4.0}"
100,Yes,Yes,{2.0}
101,Do not know,Do not know,"{2.0, 4.0}"
102,Yes,Yes,{4.0}
103,Do not know,Do not know,"{2.0, 4.0}"
104,Yes,Yes,{4.0}
105,Yes,Yes,{4.0}
106,Yes,Yes,{2.0}
107,Yes,Yes,{4.0}
108,Yes,Yes,{2.0}
109,Yes,Yes,{4.0}
110,Yes,Yes,{4.0}
111,Yes,Yes,{4.0}
112,Yes,Yes,{2.0}
113,Yes,Yes,{2.0}
114,Do not know,Do not know,"{2.0, 4.0}"
115,Yes,Yes,{4.0}
116,Yes,Yes,{2.0}
117,Yes,Yes,{2.0}
118,Yes,Yes,{2.0}
119,Yes,Yes,{2.0}
120,Yes,Yes,{4.0}
121,Yes,Yes,{4.0}
122,Yes,Yes,{4.0}
123,Yes,Yes,{2.0}
124,Yes,Yes,{4.0}
125,Yes,Yes,{2.0}
126,Yes,Yes,{4.0}
127,Yes,Yes,{2.0}
128,Yes,Yes,{2.0}
129,Yes,Yes,{2.0}
130,Yes,Yes,{4.0}
131,Yes,Yes,{2.0}
132,Yes,Yes,{2.0}
133,Yes,Yes,{2.0}
134,Yes,Yes,{2.0}
135,Yes,Yes,{2.0}
136,Yes,Yes,{2.0}
137,Yes,Yes,{2.0}
138,Yes,Yes,{2.0}
139,Do not know,Do not know,"{2.0, 4.0}"
140,Yes,Yes,{2.0}
141,Yes,Yes,{2.0}
142,Yes,Yes,{4.0}
143,Yes,Yes,{2.0}
144,Yes,Yes,{2.0}
145,Yes,Yes,{4.0}
146,Yes,Yes,{2.0}
147,Yes,Yes,{4.0}
148,Yes,Yes,{4.0}
149,Yes,Yes,{2.0}
150,Yes,Yes,{2.0}
151,Yes,Yes,{4.0}
