,Robust,Stable,Classification
0,No,Yes,{1}
1,Yes,Yes,{1}
2,Yes,Yes,{1}
3,No,No,"{0, 1}"
4,No,Yes,{1}
5,No,No,"{0, 1}"
6,No,Yes,{1}
7,Yes,Yes,{0}
8,No,No,"{0, 1}"
9,Yes,Yes,{1}
10,No,No,"{0, 1}"
11,No,No,"{0, 1}"
12,No,No,"{0, 1}"
13,No,Yes,{1}
14,No,No,"{0, 1}"
15,No,Yes,{1}
16,No,No,"{0, 1}"
17,Yes,Yes,{0}
18,No,No,"{0, 1}"
19,No,Yes,{1}
20,Yes,Yes,{0}
21,Yes,Yes,{1}
22,No,No,"{0, 1}"
23,No,No,"{0, 1}"
24,No,Yes,{1}
25,No,Yes,{1}
26,Yes,Yes,{1}
27,No,Yes,{1}
28,Yes,Yes,{0}
29,No,Yes,{1}
30,Yes,Yes,{1}
31,Yes,Yes,{1}
32,Yes,Yes,{1}
33,Yes,Yes,{1}
34,No,No,"{0, 1}"
35,No,No,"{0, 1}"
36,Yes,Yes,{0}
37,No,Yes,{1}
38,Yes,Yes,{0}
39,No,No,"{0, 1}"
40,Yes,Yes,{1}
41,Yes,Yes,{0}
42,Yes,Yes,{1}
43,No,Yes,{1}
44,Yes,Yes,{0}
45,Yes,Yes,{0}
46,No,No,"{0, 1}"
47,Yes,Yes,{1}
48,No,No,"{0, 1}"
49,No,No,"{0, 1}"
50,Yes,Yes,{1}
51,No,Yes,{0}
52,Yes,Yes,{1}
53,Yes,Yes,{1}
54,Yes,Yes,{1}
55,Yes,Yes,{0}
56,Yes,Yes,{1}
57,Yes,Yes,{0}
58,No,Yes,{0}
59,No,Yes,{1}
60,No,No,"{0, 1}"
61,No,Yes,{1}
62,Yes,Yes,{0}
63,No,Yes,{1}
64,Yes,Yes,{0}
65,No,No,"{0, 1}"
66,Yes,Yes,{0}
67,No,Yes,{1}
68,Yes,Yes,{0}
69,No,Yes,{0}
70,No,Yes,{1}
71,Yes,Yes,{0}
72,No,Yes,{0}
73,Yes,Yes,{0}
74,Yes,Yes,{1}
75,No,No,"{0, 1}"
