,Robust,Stable,Classification
0,No,No,"{0, 1}"
1,No,No,"{0, 1}"
2,No,No,"{0, 1}"
3,No,No,"{0, 1}"
4,No,No,"{0, 1}"
5,No,No,"{0, 1}"
6,No,No,"{0, 1}"
7,No,No,"{0, 1}"
8,No,No,"{0, 1}"
9,No,No,"{0, 1}"
10,No,No,"{0, 1}"
11,No,No,"{0, 1}"
12,No,No,"{0, 1}"
13,No,No,"{0, 1}"
14,No,No,"{0, 1}"
15,Yes,Yes,{1}
16,No,No,"{0, 1}"
17,No,No,"{0, 1}"
18,No,No,"{0, 1}"
19,No,No,"{0, 1}"
20,No,No,"{0, 1}"
21,No,No,"{0, 1}"
22,No,No,"{0, 1}"
23,No,No,"{0, 1}"
24,No,No,"{0, 1}"
25,No,No,"{0, 1}"
26,No,No,"{0, 1}"
27,Yes,Yes,{1}
28,No,No,"{0, 1}"
29,No,No,"{0, 1}"
30,Yes,Yes,{0}
31,Yes,Yes,{1}
32,No,No,"{0, 1}"
33,No,No,"{0, 1}"
34,No,No,"{0, 1}"
35,No,No,"{0, 1}"
36,No,No,"{0, 1}"
37,No,No,"{0, 1}"
38,No,No,"{0, 1}"
39,No,No,"{0, 1}"
40,No,No,"{0, 1}"
41,Yes,Yes,{1}
42,Yes,Yes,{1}
43,No,No,"{0, 1}"
44,No,No,"{0, 1}"
45,No,No,"{0, 1}"
46,No,No,"{0, 1}"
47,No,No,"{0, 1}"
48,No,No,"{0, 1}"
49,Yes,Yes,{0}
50,Yes,Yes,{0}
51,No,No,"{0, 1}"
52,No,No,"{0, 1}"
53,No,No,"{0, 1}"
54,No,No,"{0, 1}"
55,No,No,"{0, 1}"
56,No,No,"{0, 1}"
57,Yes,Yes,{1}
58,No,No,"{0, 1}"
59,Yes,Yes,{0}
60,No,No,"{0, 1}"
61,No,No,"{0, 1}"
62,No,No,"{0, 1}"
63,No,No,"{0, 1}"
64,No,No,"{0, 1}"
65,Yes,Yes,{1}
66,No,No,"{0, 1}"
67,No,No,"{0, 1}"
68,Yes,Yes,{0}
69,No,No,"{0, 1}"
70,No,No,"{0, 1}"
71,No,No,"{0, 1}"
72,No,No,"{0, 1}"
73,No,No,"{0, 1}"
74,No,No,"{0, 1}"
75,No,No,"{0, 1}"
76,No,No,"{0, 1}"
77,No,No,"{0, 1}"
78,No,No,"{0, 1}"
79,No,No,"{0, 1}"
80,No,No,"{0, 1}"
81,No,No,"{0, 1}"
82,No,No,"{0, 1}"
83,No,No,"{0, 1}"
84,No,No,"{0, 1}"
85,No,No,"{0, 1}"
86,No,No,"{0, 1}"
87,Yes,Yes,{0}
88,No,No,"{0, 1}"
89,No,No,"{0, 1}"
90,No,No,"{0, 1}"
91,No,No,"{0, 1}"
92,No,No,"{0, 1}"
93,No,No,"{0, 1}"
94,No,No,"{0, 1}"
95,No,No,"{0, 1}"
96,No,No,"{0, 1}"
97,No,No,"{0, 1}"
98,No,No,"{0, 1}"
99,No,No,"{0, 1}"
100,Yes,Yes,{1}
101,No,No,"{0, 1}"
102,No,No,"{0, 1}"
103,No,No,"{0, 1}"
104,No,No,"{0, 1}"
105,Yes,Yes,{0}
106,No,No,"{0, 1}"
107,No,No,"{0, 1}"
108,No,No,"{0, 1}"
109,No,No,"{0, 1}"
110,No,No,"{0, 1}"
111,No,No,"{0, 1}"
112,No,No,"{0, 1}"
113,Yes,Yes,{1}
114,No,No,"{0, 1}"
115,No,No,"{0, 1}"
116,No,No,"{0, 1}"
117,No,No,"{0, 1}"
118,No,No,"{0, 1}"
119,No,No,"{0, 1}"
120,No,No,"{0, 1}"
121,No,No,"{0, 1}"
122,No,No,"{0, 1}"
123,No,No,"{0, 1}"
124,No,No,"{0, 1}"
125,No,No,"{0, 1}"
126,No,No,"{0, 1}"
127,No,No,"{0, 1}"
128,Yes,Yes,{1}
129,No,No,"{0, 1}"
130,No,No,"{0, 1}"
131,No,No,"{0, 1}"
132,No,No,"{0, 1}"
133,No,No,"{0, 1}"
134,No,No,"{0, 1}"
135,No,No,"{0, 1}"
136,No,No,"{0, 1}"
137,No,No,"{0, 1}"
138,No,No,"{0, 1}"
139,No,No,"{0, 1}"
140,No,No,"{0, 1}"
141,No,Yes,{1}
142,No,No,"{0, 1}"
143,Yes,Yes,{0}
144,Yes,Yes,{0}
145,No,No,"{0, 1}"
146,No,No,"{0, 1}"
147,No,No,"{0, 1}"
148,No,No,"{0, 1}"
149,Yes,Yes,{1}
150,No,No,"{0, 1}"
151,No,No,"{0, 1}"
152,No,No,"{0, 1}"
153,No,No,"{0, 1}"
154,No,No,"{0, 1}"
155,No,No,"{0, 1}"
156,No,No,"{0, 1}"
157,No,No,"{0, 1}"
158,No,No,"{0, 1}"
159,No,No,"{0, 1}"
160,No,No,"{0, 1}"
161,No,No,"{0, 1}"
162,No,No,"{0, 1}"
163,No,No,"{0, 1}"
164,No,No,"{0, 1}"
165,No,No,"{0, 1}"
166,No,No,"{0, 1}"
167,No,No,"{0, 1}"
168,No,No,"{0, 1}"
169,No,No,"{0, 1}"
170,No,No,"{0, 1}"
171,No,No,"{0, 1}"
172,No,No,"{0, 1}"
173,No,No,"{0, 1}"
174,No,No,"{0, 1}"
175,No,No,"{0, 1}"
176,No,No,"{0, 1}"
177,No,No,"{0, 1}"
178,No,No,"{0, 1}"
179,No,No,"{0, 1}"
180,No,No,"{0, 1}"
181,No,No,"{0, 1}"
182,No,No,"{0, 1}"
183,No,No,"{0, 1}"
184,No,No,"{0, 1}"
185,No,No,"{0, 1}"
186,No,No,"{0, 1}"
187,No,No,"{0, 1}"
188,No,No,"{0, 1}"
189,No,No,"{0, 1}"
190,No,No,"{0, 1}"
191,No,No,"{0, 1}"
192,No,No,"{0, 1}"
193,No,No,"{0, 1}"
194,No,No,"{0, 1}"
195,No,No,"{0, 1}"
196,No,No,"{0, 1}"
197,No,No,"{0, 1}"
198,Yes,Yes,{1}
199,No,No,"{0, 1}"
200,Yes,Yes,{0}
201,Yes,Yes,{1}
202,No,No,"{0, 1}"
203,No,No,"{0, 1}"
204,No,No,"{0, 1}"
205,No,No,"{0, 1}"
206,No,No,"{0, 1}"
207,No,No,"{0, 1}"
208,No,No,"{0, 1}"
209,No,No,"{0, 1}"
210,No,No,"{0, 1}"
211,No,No,"{0, 1}"
212,No,No,"{0, 1}"
213,No,No,"{0, 1}"
214,No,No,"{0, 1}"
215,No,No,"{0, 1}"
216,No,No,"{0, 1}"
217,No,No,"{0, 1}"
218,No,No,"{0, 1}"
219,No,No,"{0, 1}"
220,No,No,"{0, 1}"
221,Yes,Yes,{0}
222,No,No,"{0, 1}"
223,No,No,"{0, 1}"
224,No,No,"{0, 1}"
225,No,No,"{0, 1}"
226,Yes,Yes,{0}
227,No,No,"{0, 1}"
228,No,No,"{0, 1}"
229,No,Yes,{0}
230,No,No,"{0, 1}"
231,Yes,Yes,{0}
232,Yes,Yes,{0}
233,No,No,"{0, 1}"
234,No,No,"{0, 1}"
235,Yes,Yes,{0}
236,No,No,"{0, 1}"
237,No,No,"{0, 1}"
238,No,No,"{0, 1}"
239,No,No,"{0, 1}"
240,No,No,"{0, 1}"
241,No,No,"{0, 1}"
242,No,No,"{0, 1}"
243,No,No,"{0, 1}"
244,No,No,"{0, 1}"
245,No,No,"{0, 1}"
246,No,No,"{0, 1}"
247,No,No,"{0, 1}"
248,No,No,"{0, 1}"
249,No,No,"{0, 1}"
250,No,No,"{0, 1}"
251,No,No,"{0, 1}"
252,Yes,Yes,{0}
253,No,No,"{0, 1}"
254,No,No,"{0, 1}"
255,No,No,"{0, 1}"
256,Yes,Yes,{1}
257,No,No,"{0, 1}"
258,No,No,"{0, 1}"
259,No,No,"{0, 1}"
260,No,No,"{0, 1}"
261,No,No,"{0, 1}"
262,No,No,"{0, 1}"
263,Yes,Yes,{1}
264,No,No,"{0, 1}"
265,No,Yes,{0}
266,No,No,"{0, 1}"
267,Yes,Yes,{0}
268,No,No,"{0, 1}"
269,No,No,"{0, 1}"
270,No,No,"{0, 1}"
271,No,No,"{0, 1}"
272,No,No,"{0, 1}"
273,No,No,"{0, 1}"
274,No,No,"{0, 1}"
275,No,No,"{0, 1}"
276,No,No,"{0, 1}"
277,No,No,"{0, 1}"
278,No,No,"{0, 1}"
279,No,No,"{0, 1}"
280,No,No,"{0, 1}"
281,No,No,"{0, 1}"
282,No,No,"{0, 1}"
283,No,No,"{0, 1}"
284,Yes,Yes,{1}
285,No,No,"{0, 1}"
286,No,No,"{0, 1}"
287,No,No,"{0, 1}"
288,No,No,"{0, 1}"
289,No,No,"{0, 1}"
290,No,No,"{0, 1}"
291,No,No,"{0, 1}"
292,No,No,"{0, 1}"
293,No,No,"{0, 1}"
294,Yes,Yes,{1}
295,No,No,"{0, 1}"
296,No,No,"{0, 1}"
297,No,No,"{0, 1}"
298,No,No,"{0, 1}"
