,Robust,Stable,Classification
0,Yes,Yes,{-1.0}
1,Yes,Yes,{1.0}
2,Yes,Yes,{-1.0}
3,Yes,Yes,{1.0}
4,Do not know,Do not know,"{1.0, -1.0}"
5,Yes,Yes,{1.0}
6,No,Yes,{1.0}
7,No,Yes,{-1.0}
8,Do not know,Do not know,"{1.0, -1.0}"
9,No,Yes,{1.0}
10,Yes,Yes,{1.0}
11,No,Yes,{1.0}
12,Do not know,Do not know,"{1.0, -1.0}"
13,Do not know,Do not know,"{1.0, -1.0}"
14,No,Yes,{1.0}
15,No,Yes,{1.0}
16,Do not know,Do not know,"{1.0, -1.0}"
17,Do not know,Do not know,"{1.0, -1.0}"
18,Yes,Yes,{1.0}
19,Do not know,Do not know,"{1.0, -1.0}"
20,Do not know,Do not know,"{1.0, -1.0}"
21,Yes,Yes,{1.0}
22,Yes,Yes,{-1.0}
23,Do not know,Do not know,"{1.0, -1.0}"
24,Do not know,Do not know,"{1.0, -1.0}"
25,No,Yes,{1.0}
26,Yes,Yes,{-1.0}
27,Yes,Yes,{1.0}
28,Yes,Yes,{1.0}
29,Yes,Yes,{1.0}
30,No,Yes,{-1.0}
31,Yes,Yes,{-1.0}
32,Yes,Yes,{1.0}
33,Yes,Yes,{1.0}
34,Do not know,Do not know,"{1.0, -1.0}"
35,Yes,Yes,{1.0}
36,Yes,Yes,{1.0}
37,Do not know,Do not know,"{1.0, -1.0}"
38,No,Yes,{1.0}
39,No,Yes,{1.0}
40,No,Yes,{-1.0}
41,Yes,Yes,{1.0}
42,Do not know,Do not know,"{1.0, -1.0}"
43,Yes,Yes,{-1.0}
44,No,Yes,{-1.0}
45,Yes,Yes,{-1.0}
46,Do not know,Do not know,"{1.0, -1.0}"
47,Yes,Yes,{1.0}
48,Do not know,Do not know,"{1.0, -1.0}"
49,Yes,Yes,{1.0}
50,Yes,Yes,{1.0}
51,Yes,Yes,{1.0}
52,Yes,Yes,{1.0}
53,Yes,Yes,{-1.0}
54,Do not know,Do not know,"{1.0, -1.0}"
55,Yes,Yes,{1.0}
56,Yes,Yes,{-1.0}
57,Do not know,Do not know,"{1.0, -1.0}"
58,Do not know,Do not know,"{1.0, -1.0}"
59,Yes,Yes,{1.0}
60,Yes,Yes,{1.0}
61,Yes,Yes,{-1.0}
62,Yes,Yes,{1.0}
63,Do not know,Do not know,"{1.0, -1.0}"
64,Do not know,Do not know,"{1.0, -1.0}"
65,Yes,Yes,{1.0}
66,Do not know,Do not know,"{1.0, -1.0}"
67,Do not know,Do not know,"{1.0, -1.0}"
68,Yes,Yes,{1.0}
69,Do not know,Do not know,"{1.0, -1.0}"
70,No,Yes,{1.0}
71,Do not know,Do not know,"{1.0, -1.0}"
72,Do not know,Do not know,"{1.0, -1.0}"
73,Do not know,Do not know,"{1.0, -1.0}"
74,Yes,Yes,{1.0}
75,Yes,Yes,{1.0}
76,Yes,Yes,{1.0}
77,Yes,Yes,{1.0}
78,Yes,Yes,{-1.0}
79,Yes,Yes,{1.0}
80,Yes,Yes,{1.0}
81,Yes,Yes,{1.0}
82,Yes,Yes,{1.0}
83,Yes,Yes,{1.0}
84,Yes,Yes,{-1.0}
85,Do not know,Do not know,"{1.0, -1.0}"
86,Yes,Yes,{1.0}
87,Yes,Yes,{1.0}
88,Do not know,Do not know,"{1.0, -1.0}"
89,Yes,Yes,{1.0}
90,Yes,Yes,{1.0}
91,Do not know,Do not know,"{1.0, -1.0}"
92,Do not know,Do not know,"{1.0, -1.0}"
93,No,Yes,{1.0}
94,Do not know,Do not know,"{1.0, -1.0}"
95,Yes,Yes,{1.0}
96,Yes,Yes,{1.0}
97,Yes,Yes,{1.0}
98,Do not know,Do not know,"{1.0, -1.0}"
99,No,Yes,{1.0}
100,Yes,Yes,{-1.0}
101,Do not know,Do not know,"{1.0, -1.0}"
102,Yes,Yes,{1.0}
103,Yes,Yes,{1.0}
104,Do not know,Do not know,"{1.0, -1.0}"
105,Yes,Yes,{1.0}
106,Yes,Yes,{1.0}
107,Yes,Yes,{1.0}
108,Yes,Yes,{1.0}
109,No,Yes,{1.0}
110,Do not know,Do not know,"{1.0, -1.0}"
111,Do not know,Do not know,"{1.0, -1.0}"
112,Yes,Yes,{1.0}
113,Do not know,Do not know,"{1.0, -1.0}"
114,No,Yes,{1.0}
115,Yes,Yes,{-1.0}
116,Do not know,Do not know,"{1.0, -1.0}"
117,Do not know,Do not know,"{1.0, -1.0}"
118,Yes,Yes,{1.0}
119,Yes,Yes,{1.0}
120,Do not know,Do not know,"{1.0, -1.0}"
121,Yes,Yes,{1.0}
122,Yes,Yes,{1.0}
123,Yes,Yes,{1.0}
124,No,Yes,{1.0}
125,Do not know,Do not know,"{1.0, -1.0}"
126,Yes,Yes,{1.0}
127,Yes,Yes,{1.0}
128,Yes,Yes,{-1.0}
129,No,Yes,{1.0}
130,Do not know,Do not know,"{1.0, -1.0}"
131,Yes,Yes,{-1.0}
132,Do not know,Do not know,"{1.0, -1.0}"
133,Yes,Yes,{1.0}
134,Yes,Yes,{1.0}
135,Do not know,Do not know,"{1.0, -1.0}"
136,Do not know,Do not know,"{1.0, -1.0}"
137,Yes,Yes,{1.0}
138,Do not know,Do not know,"{1.0, -1.0}"
139,Yes,Yes,{1.0}
140,Do not know,Do not know,"{1.0, -1.0}"
141,Yes,Yes,{1.0}
142,Yes,Yes,{1.0}
143,No,Yes,{1.0}
144,Yes,Yes,{1.0}
145,Yes,Yes,{1.0}
146,Yes,Yes,{1.0}
147,Do not know,Do not know,"{1.0, -1.0}"
148,Yes,Yes,{1.0}
149,Yes,Yes,{1.0}
150,Do not know,Do not know,"{1.0, -1.0}"
151,Do not know,Do not know,"{1.0, -1.0}"
152,Yes,Yes,{-1.0}
153,Do not know,Do not know,"{1.0, -1.0}"
154,Yes,Yes,{-1.0}
155,Do not know,Do not know,"{1.0, -1.0}"
156,Yes,Yes,{1.0}
157,Yes,Yes,{1.0}
158,Yes,Yes,{1.0}
159,No,Yes,{1.0}
160,Do not know,Do not know,"{1.0, -1.0}"
161,Do not know,Do not know,"{1.0, -1.0}"
162,Do not know,Do not know,"{1.0, -1.0}"
163,Yes,Yes,{1.0}
164,No,Yes,{1.0}
165,No,Yes,{1.0}
166,Do not know,Do not know,"{1.0, -1.0}"
167,Do not know,Do not know,"{1.0, -1.0}"
168,Yes,Yes,{1.0}
169,Do not know,Do not know,"{1.0, -1.0}"
170,Do not know,Do not know,"{1.0, -1.0}"
171,No,Yes,{1.0}
172,Yes,Yes,{1.0}
173,Yes,Yes,{1.0}
174,Yes,Yes,{1.0}
175,Do not know,Do not know,"{1.0, -1.0}"
176,Do not know,Do not know,"{1.0, -1.0}"
177,Do not know,Do not know,"{1.0, -1.0}"
178,Yes,Yes,{1.0}
179,Do not know,Do not know,"{1.0, -1.0}"
180,Yes,Yes,{1.0}
181,Do not know,Do not know,"{1.0, -1.0}"
182,Yes,Yes,{1.0}
183,Do not know,Do not know,"{1.0, -1.0}"
184,Do not know,Do not know,"{1.0, -1.0}"
185,Yes,Yes,{-1.0}
186,Yes,Yes,{-1.0}
187,Yes,Yes,{-1.0}
188,Do not know,Do not know,"{1.0, -1.0}"
189,No,Yes,{1.0}
190,Yes,Yes,{1.0}
191,Do not know,Do not know,"{1.0, -1.0}"
192,Do not know,Do not know,"{1.0, -1.0}"
193,Yes,Yes,{-1.0}
194,Do not know,Do not know,"{1.0, -1.0}"
195,Do not know,Do not know,"{1.0, -1.0}"
196,Yes,Yes,{1.0}
197,No,Yes,{1.0}
198,Do not know,Do not know,"{1.0, -1.0}"
199,Do not know,Do not know,"{1.0, -1.0}"
200,Yes,Yes,{1.0}
201,Do not know,Do not know,"{1.0, -1.0}"
202,Yes,Yes,{1.0}
203,Yes,Yes,{1.0}
204,Yes,Yes,{1.0}
205,Do not know,Do not know,"{1.0, -1.0}"
206,Yes,Yes,{-1.0}
207,Do not know,Do not know,"{1.0, -1.0}"
208,Do not know,Do not know,"{1.0, -1.0}"
209,Yes,Yes,{-1.0}
210,Yes,Yes,{1.0}
211,No,Yes,{-1.0}
212,Do not know,Do not know,"{1.0, -1.0}"
213,Do not know,Do not know,"{1.0, -1.0}"
214,No,Yes,{1.0}
215,Do not know,Do not know,"{1.0, -1.0}"
216,No,Yes,{1.0}
217,Yes,Yes,{1.0}
218,Do not know,Do not know,"{1.0, -1.0}"
219,Do not know,Do not know,"{1.0, -1.0}"
220,Do not know,Do not know,"{1.0, -1.0}"
221,Yes,Yes,{-1.0}
222,No,Yes,{-1.0}
223,Do not know,Do not know,"{1.0, -1.0}"
224,Yes,Yes,{1.0}
225,Yes,Yes,{1.0}
226,Yes,Yes,{1.0}
227,Do not know,Do not know,"{1.0, -1.0}"
228,No,Yes,{-1.0}
229,Do not know,Do not know,"{1.0, -1.0}"
