,Robust,Stable,Classification
0,Do not know,Do not know,"{1, 2}"
1,No,Yes,{2}
2,No,Yes,{2}
3,Do not know,Do not know,"{1, 2}"
4,Yes,Yes,{1}
5,Do not know,Do not know,"{1, 2}"
6,Yes,Yes,{1}
7,Do not know,Do not know,"{1, 2}"
8,Do not know,Do not know,"{1, 2}"
9,Yes,Yes,{1}
10,Yes,Yes,{1}
11,Do not know,Do not know,"{1, 2}"
12,Do not know,Do not know,"{1, 2}"
13,Do not know,Do not know,"{1, 2}"
14,Do not know,Do not know,"{1, 2}"
15,Do not know,Do not know,"{1, 2}"
16,Do not know,Do not know,"{1, 2}"
17,Yes,Yes,{1}
18,Do not know,Do not know,"{1, 2}"
19,Do not know,Do not know,"{1, 2}"
20,Yes,Yes,{1}
21,Yes,Yes,{2}
22,Yes,Yes,{1}
23,Yes,Yes,{1}
24,Yes,Yes,{1}
25,Do not know,Do not know,"{1, 2}"
26,Do not know,Do not know,"{1, 2}"
27,Do not know,Do not know,"{1, 2}"
28,Do not know,Do not know,"{1, 2}"
29,Do not know,Do not know,"{1, 2}"
30,Do not know,Do not know,"{1, 2}"
31,Do not know,Do not know,"{1, 2}"
32,Do not know,Do not know,"{1, 2}"
33,Yes,Yes,{1}
34,Do not know,Do not know,"{1, 2}"
35,Yes,Yes,{1}
36,Do not know,Do not know,"{1, 2}"
37,Do not know,Do not know,"{1, 2}"
38,Yes,Yes,{1}
39,Do not know,Do not know,"{1, 2}"
40,Do not know,Do not know,"{1, 2}"
41,Yes,Yes,{1}
42,Do not know,Do not know,"{1, 2}"
43,Yes,Yes,{1}
44,Do not know,Do not know,"{1, 2}"
45,Do not know,Do not know,"{1, 2}"
46,Do not know,Do not know,"{1, 2}"
47,Do not know,Do not know,"{1, 2}"
48,Do not know,Do not know,"{1, 2}"
49,Do not know,Do not know,"{1, 2}"
50,Do not know,Do not know,"{1, 2}"
51,Yes,Yes,{1}
52,Yes,Yes,{1}
53,Do not know,Do not know,"{1, 2}"
54,Do not know,Do not know,"{1, 2}"
55,Yes,Yes,{1}
56,Yes,Yes,{1}
57,Do not know,Do not know,"{1, 2}"
58,No,Yes,{2}
59,Do not know,Do not know,"{1, 2}"
60,Do not know,Do not know,"{1, 2}"
61,Do not know,Do not know,"{1, 2}"
62,Do not know,Do not know,"{1, 2}"
63,Yes,Yes,{1}
64,Do not know,Do not know,"{1, 2}"
65,Do not know,Do not know,"{1, 2}"
66,Do not know,Do not know,"{1, 2}"
67,Do not know,Do not know,"{1, 2}"
68,Do not know,Do not know,"{1, 2}"
69,No,Yes,{1}
70,Do not know,Do not know,"{1, 2}"
71,Yes,Yes,{1}
72,Yes,Yes,{1}
73,Yes,Yes,{1}
74,Yes,Yes,{1}
75,Do not know,Do not know,"{1, 2}"
76,Do not know,Do not know,"{1, 2}"
77,Do not know,Do not know,"{1, 2}"
78,Do not know,Do not know,"{1, 2}"
79,Yes,Yes,{2}
80,Do not know,Do not know,"{1, 2}"
81,Yes,Yes,{1}
82,Do not know,Do not know,"{1, 2}"
83,Do not know,Do not know,"{1, 2}"
84,Yes,Yes,{1}
85,Do not know,Do not know,"{1, 2}"
86,Do not know,Do not know,"{1, 2}"
87,Do not know,Do not know,"{1, 2}"
88,Do not know,Do not know,"{1, 2}"
89,Yes,Yes,{1}
90,Do not know,Do not know,"{1, 2}"
91,Yes,Yes,{1}
92,Yes,Yes,{2}
93,Do not know,Do not know,"{1, 2}"
94,Yes,Yes,{1}
95,Do not know,Do not know,"{1, 2}"
96,Yes,Yes,{1}
97,Do not know,Do not know,"{1, 2}"
98,Do not know,Do not know,"{1, 2}"
99,Do not know,Do not know,"{1, 2}"
100,Yes,Yes,{1}
101,Do not know,Do not know,"{1, 2}"
102,Do not know,Do not know,"{1, 2}"
103,Yes,Yes,{1}
104,Do not know,Do not know,"{1, 2}"
105,Do not know,Do not know,"{1, 2}"
106,Do not know,Do not know,"{1, 2}"
107,Do not know,Do not know,"{1, 2}"
108,Do not know,Do not know,"{1, 2}"
109,Yes,Yes,{2}
110,Do not know,Do not know,"{1, 2}"
111,Do not know,Do not know,"{1, 2}"
112,Yes,Yes,{1}
113,Do not know,Do not know,"{1, 2}"
114,Do not know,Do not know,"{1, 2}"
115,Do not know,Do not know,"{1, 2}"
116,Do not know,Do not know,"{1, 2}"
117,No,Yes,{1}
118,Do not know,Do not know,"{1, 2}"
119,Do not know,Do not know,"{1, 2}"
120,Do not know,Do not know,"{1, 2}"
121,Do not know,Do not know,"{1, 2}"
122,Do not know,Do not know,"{1, 2}"
123,Do not know,Do not know,"{1, 2}"
124,Do not know,Do not know,"{1, 2}"
125,Do not know,Do not know,"{1, 2}"
126,Do not know,Do not know,"{1, 2}"
127,Yes,Yes,{1}
128,Yes,Yes,{1}
129,Do not know,Do not know,"{1, 2}"
130,Do not know,Do not know,"{1, 2}"
131,No,Yes,{1}
132,No,Yes,{1}
133,Do not know,Do not know,"{1, 2}"
134,Do not know,Do not know,"{1, 2}"
135,Do not know,Do not know,"{1, 2}"
136,Do not know,Do not know,"{1, 2}"
137,Do not know,Do not know,"{1, 2}"
138,Do not know,Do not know,"{1, 2}"
139,Do not know,Do not know,"{1, 2}"
140,Do not know,Do not know,"{1, 2}"
141,Do not know,Do not know,"{1, 2}"
142,Do not know,Do not know,"{1, 2}"
143,Yes,Yes,{1}
144,Do not know,Do not know,"{1, 2}"
145,Do not know,Do not know,"{1, 2}"
146,Do not know,Do not know,"{1, 2}"
147,Yes,Yes,{1}
148,Do not know,Do not know,"{1, 2}"
149,Do not know,Do not know,"{1, 2}"
150,Yes,Yes,{1}
151,Do not know,Do not know,"{1, 2}"
152,Yes,Yes,{1}
153,No,Yes,{1}
154,Do not know,Do not know,"{1, 2}"
155,Do not know,Do not know,"{1, 2}"
156,Do not know,Do not know,"{1, 2}"
157,Do not know,Do not know,"{1, 2}"
158,Do not know,Do not know,"{1, 2}"
159,Do not know,Do not know,"{1, 2}"
160,Do not know,Do not know,"{1, 2}"
161,Yes,Yes,{1}
162,Do not know,Do not know,"{1, 2}"
163,Do not know,Do not know,"{1, 2}"
164,Do not know,Do not know,"{1, 2}"
165,Do not know,Do not know,"{1, 2}"
166,Do not know,Do not know,"{1, 2}"
167,Do not know,Do not know,"{1, 2}"
168,Do not know,Do not know,"{1, 2}"
169,Do not know,Do not know,"{1, 2}"
170,Yes,Yes,{1}
171,Do not know,Do not know,"{1, 2}"
172,Do not know,Do not know,"{1, 2}"
173,Do not know,Do not know,"{1, 2}"
174,Do not know,Do not know,"{1, 2}"
175,Do not know,Do not know,"{1, 2}"
176,Do not know,Do not know,"{1, 2}"
177,Yes,Yes,{1}
178,Do not know,Do not know,"{1, 2}"
179,Do not know,Do not know,"{1, 2}"
180,Yes,Yes,{1}
181,Yes,Yes,{1}
182,Do not know,Do not know,"{1, 2}"
183,Do not know,Do not know,"{1, 2}"
184,Yes,Yes,{1}
185,No,Yes,{1}
186,Do not know,Do not know,"{1, 2}"
187,Yes,Yes,{1}
188,Yes,Yes,{1}
189,Do not know,Do not know,"{1, 2}"
190,No,Yes,{1}
191,Do not know,Do not know,"{1, 2}"
192,Yes,Yes,{2}
193,Do not know,Do not know,"{1, 2}"
194,Do not know,Do not know,"{1, 2}"
195,Yes,Yes,{1}
196,Do not know,Do not know,"{1, 2}"
197,Do not know,Do not know,"{1, 2}"
198,No,Yes,{2}
