,Robust,Stable,Classification
0,No,No,"{1, 2}"
1,No,Yes,{2}
2,No,Yes,{2}
3,No,No,"{1, 2}"
4,Yes,Yes,{1}
5,No,No,"{1, 2}"
6,Yes,Yes,{1}
7,No,No,"{1, 2}"
8,No,No,"{1, 2}"
9,Yes,Yes,{1}
10,Yes,Yes,{1}
11,No,No,"{1, 2}"
12,No,No,"{1, 2}"
13,Yes,Yes,{2}
14,No,No,"{1, 2}"
15,No,No,"{1, 2}"
16,Yes,Yes,{1}
17,Yes,Yes,{1}
18,No,No,"{1, 2}"
19,No,No,"{1, 2}"
20,Yes,Yes,{1}
21,Yes,Yes,{2}
22,Yes,Yes,{1}
23,Yes,Yes,{1}
24,Yes,Yes,{1}
25,No,No,"{1, 2}"
26,No,No,"{1, 2}"
27,No,No,"{1, 2}"
28,Yes,Yes,{1}
29,Yes,Yes,{1}
30,No,No,"{1, 2}"
31,No,No,"{1, 2}"
32,No,No,"{1, 2}"
33,Yes,Yes,{1}
34,No,No,"{1, 2}"
35,Yes,Yes,{1}
36,No,No,"{1, 2}"
37,No,Yes,{2}
38,Yes,Yes,{1}
39,No,Yes,{1}
40,No,No,"{1, 2}"
41,Yes,Yes,{1}
42,No,No,"{1, 2}"
43,Yes,Yes,{1}
44,No,No,"{1, 2}"
45,No,No,"{1, 2}"
46,No,No,"{1, 2}"
47,No,No,"{1, 2}"
48,No,No,"{1, 2}"
49,No,No,"{1, 2}"
50,No,No,"{1, 2}"
51,Yes,Yes,{1}
52,Yes,Yes,{1}
53,No,Yes,{1}
54,Yes,Yes,{1}
55,Yes,Yes,{1}
56,Yes,Yes,{1}
57,No,No,"{1, 2}"
58,No,Yes,{2}
59,Yes,Yes,{1}
60,No,No,"{1, 2}"
61,No,No,"{1, 2}"
62,No,No,"{1, 2}"
63,Yes,Yes,{1}
64,No,No,"{1, 2}"
65,No,Yes,{2}
66,Yes,Yes,{1}
67,No,No,"{1, 2}"
68,No,No,"{1, 2}"
69,No,Yes,{1}
70,No,No,"{1, 2}"
71,Yes,Yes,{1}
72,Yes,Yes,{1}
73,Yes,Yes,{1}
74,Yes,Yes,{1}
75,No,No,"{1, 2}"
76,No,No,"{1, 2}"
77,No,No,"{1, 2}"
78,No,No,"{1, 2}"
79,Yes,Yes,{2}
80,Yes,Yes,{1}
81,Yes,Yes,{1}
82,Yes,Yes,{1}
83,No,No,"{1, 2}"
84,Yes,Yes,{1}
85,No,No,"{1, 2}"
86,Yes,Yes,{2}
87,No,No,"{1, 2}"
88,Yes,Yes,{1}
89,Yes,Yes,{1}
90,No,No,"{1, 2}"
91,Yes,Yes,{1}
92,Yes,Yes,{2}
93,No,No,"{1, 2}"
94,Yes,Yes,{1}
95,Yes,Yes,{1}
96,Yes,Yes,{1}
97,No,Yes,{2}
98,No,No,"{1, 2}"
99,No,No,"{1, 2}"
100,Yes,Yes,{1}
101,No,No,"{1, 2}"
102,No,No,"{1, 2}"
103,Yes,Yes,{1}
104,No,No,"{1, 2}"
105,No,No,"{1, 2}"
106,No,No,"{1, 2}"
107,Yes,Yes,{1}
108,No,No,"{1, 2}"
109,Yes,Yes,{2}
110,No,No,"{1, 2}"
111,No,No,"{1, 2}"
112,Yes,Yes,{1}
113,No,No,"{1, 2}"
114,No,No,"{1, 2}"
115,Yes,Yes,{1}
116,No,No,"{1, 2}"
117,No,Yes,{1}
118,No,No,"{1, 2}"
119,No,No,"{1, 2}"
120,Yes,Yes,{1}
121,No,No,"{1, 2}"
122,Yes,Yes,{1}
123,No,No,"{1, 2}"
124,Yes,Yes,{2}
125,No,No,"{1, 2}"
126,No,No,"{1, 2}"
127,Yes,Yes,{1}
128,Yes,Yes,{1}
129,No,No,"{1, 2}"
130,No,No,"{1, 2}"
131,No,Yes,{1}
132,No,Yes,{1}
133,No,No,"{1, 2}"
134,No,Yes,{2}
135,No,No,"{1, 2}"
136,No,No,"{1, 2}"
137,Yes,Yes,{1}
138,No,Yes,{2}
139,Yes,Yes,{1}
140,No,No,"{1, 2}"
141,No,No,"{1, 2}"
142,Yes,Yes,{2}
143,Yes,Yes,{1}
144,No,No,"{1, 2}"
145,No,No,"{1, 2}"
146,No,No,"{1, 2}"
147,Yes,Yes,{1}
148,No,No,"{1, 2}"
149,No,No,"{1, 2}"
150,Yes,Yes,{1}
151,No,No,"{1, 2}"
152,Yes,Yes,{1}
153,No,Yes,{1}
154,No,No,"{1, 2}"
155,No,No,"{1, 2}"
156,No,No,"{1, 2}"
157,Yes,Yes,{1}
158,No,No,"{1, 2}"
159,No,No,"{1, 2}"
160,No,No,"{1, 2}"
161,Yes,Yes,{1}
162,No,No,"{1, 2}"
163,Yes,Yes,{1}
164,No,No,"{1, 2}"
165,No,No,"{1, 2}"
166,No,No,"{1, 2}"
167,No,Yes,{2}
168,Yes,Yes,{1}
169,No,No,"{1, 2}"
170,Yes,Yes,{1}
171,Yes,Yes,{1}
172,Yes,Yes,{1}
173,No,No,"{1, 2}"
174,Yes,Yes,{1}
175,No,No,"{1, 2}"
176,Yes,Yes,{1}
177,Yes,Yes,{1}
178,No,No,"{1, 2}"
179,No,No,"{1, 2}"
180,Yes,Yes,{1}
181,Yes,Yes,{1}
182,Yes,Yes,{1}
183,No,No,"{1, 2}"
184,Yes,Yes,{1}
185,No,Yes,{1}
186,No,No,"{1, 2}"
187,Yes,Yes,{1}
188,Yes,Yes,{1}
189,No,No,"{1, 2}"
190,No,Yes,{1}
191,No,No,"{1, 2}"
192,Yes,Yes,{2}
193,No,No,"{1, 2}"
194,No,No,"{1, 2}"
195,Yes,Yes,{1}
196,No,No,"{1, 2}"
197,No,No,"{1, 2}"
198,No,Yes,{2}
199,Yes,Yes,{1}
