,Robust,Stable,Classification
0,Do not know,Do not know,"{17.0, 15.0}"
1,Yes,Yes,{18.0}
2,Yes,Yes,{6.0}
3,Yes,Yes,{6.0}
4,Yes,Yes,{20.0}
5,Yes,Yes,{20.0}
6,Yes,Yes,{7.0}
7,Yes,Yes,{26.0}
8,Yes,Yes,{3.0}
9,Yes,Yes,{15.0}
10,Yes,Yes,{22.0}
11,Yes,Yes,{9.0}
12,Yes,Yes,{8.0}
13,Yes,Yes,{4.0}
14,Yes,Yes,{5.0}
15,Yes,Yes,{17.0}
16,No,Yes,{6.0}
17,Yes,Yes,{24.0}
18,Yes,Yes,{6.0}
19,Yes,Yes,{5.0}
20,Yes,Yes,{10.0}
21,Yes,Yes,{13.0}
22,Yes,Yes,{8.0}
23,No,Yes,{15.0}
24,Yes,Yes,{7.0}
25,Yes,Yes,{26.0}
26,Yes,Yes,{5.0}
27,Yes,Yes,{11.0}
28,Yes,Yes,{15.0}
29,Yes,Yes,{22.0}
30,Yes,Yes,{22.0}
31,Do not know,Do not know,"{18.0, 11.0}"
32,Yes,Yes,{3.0}
33,Yes,Yes,{6.0}
34,Yes,Yes,{12.0}
35,Yes,Yes,{6.0}
36,Yes,Yes,{26.0}
37,Yes,Yes,{4.0}
38,Yes,Yes,{22.0}
39,Yes,Yes,{6.0}
40,Yes,Yes,{7.0}
41,Yes,Yes,{7.0}
42,Yes,Yes,{9.0}
43,Yes,Yes,{3.0}
44,Yes,Yes,{6.0}
45,Yes,Yes,{17.0}
46,Yes,Yes,{23.0}
47,Yes,Yes,{25.0}
48,Yes,Yes,{18.0}
49,Yes,Yes,{4.0}
50,Yes,Yes,{12.0}
51,Yes,Yes,{20.0}
52,Yes,Yes,{15.0}
53,Yes,Yes,{22.0}
54,Yes,Yes,{1.0}
55,Yes,Yes,{11.0}
56,Do not know,Do not know,"{24.0, 11.0, 5.0}"
57,Yes,Yes,{4.0}
58,Yes,Yes,{17.0}
59,Yes,Yes,{20.0}
60,Yes,Yes,{21.0}
61,Yes,Yes,{14.0}
62,Yes,Yes,{3.0}
63,Yes,Yes,{12.0}
64,Yes,Yes,{22.0}
65,Yes,Yes,{24.0}
66,Yes,Yes,{22.0}
67,Yes,Yes,{4.0}
68,Yes,Yes,{19.0}
69,Do not know,Do not know,"{9.0, 20.0, 6.0}"
70,Yes,Yes,{23.0}
71,Yes,Yes,{3.0}
72,Yes,Yes,{8.0}
73,Yes,Yes,{19.0}
74,Do not know,Do not know,"{24.0, 11.0}"
75,Yes,Yes,{2.0}
76,Yes,Yes,{20.0}
77,Yes,Yes,{21.0}
78,Yes,Yes,{13.0}
79,Yes,Yes,{6.0}
80,Yes,Yes,{19.0}
81,No,Do not know,"{10.0, 6.0}"
82,Yes,Yes,{2.0}
83,Yes,Yes,{7.0}
84,Yes,Yes,{25.0}
85,Yes,Yes,{4.0}
86,Do not know,Do not know,"{5.0, 22.0}"
87,Yes,Yes,{1.0}
88,Yes,Yes,{24.0}
89,Yes,Yes,{22.0}
90,No,Yes,{26.0}
91,Do not know,Do not know,"{16.0, 6.0}"
92,Yes,Yes,{5.0}
93,Yes,Yes,{11.0}
94,Yes,Yes,{14.0}
95,No,Yes,{18.0}
96,Yes,Yes,{7.0}
97,Yes,Yes,{8.0}
98,Yes,Yes,{14.0}
99,Yes,Yes,{9.0}
100,Yes,Yes,{2.0}
101,Yes,Yes,{5.0}
102,Yes,Yes,{15.0}
103,Yes,Yes,{17.0}
104,Yes,Yes,{16.0}
105,Yes,Yes,{23.0}
106,Yes,Yes,{20.0}
107,Yes,Yes,{15.0}
108,Yes,Yes,{2.0}
