,Robust,Stable,Classification
0,Yes,Yes,{1.0}
1,Yes,Yes,{1.0}
2,Yes,Yes,{1.0}
3,Yes,Yes,{1.0}
4,Yes,Yes,{1.0}
5,Yes,Yes,{1.0}
6,Yes,Yes,{1.0}
7,Yes,Yes,{1.0}
8,Yes,Yes,{1.0}
9,Yes,Yes,{1.0}
10,Yes,Yes,{1.0}
11,Yes,Yes,{1.0}
12,Yes,Yes,{1.0}
13,Yes,Yes,{1.0}
14,Yes,Yes,{1.0}
15,Yes,Yes,{1.0}
16,Yes,Yes,{1.0}
17,Yes,Yes,{1.0}
18,Yes,Yes,{1.0}
19,Yes,Yes,{1.0}
20,Yes,Yes,{1.0}
21,Yes,Yes,{1.0}
22,Yes,Yes,{1.0}
23,Yes,Yes,{1.0}
24,Yes,Yes,{1.0}
25,Yes,Yes,{1.0}
26,Yes,Yes,{1.0}
27,Yes,Yes,{1.0}
28,Yes,Yes,{1.0}
29,Yes,Yes,{1.0}
30,Yes,Yes,{1.0}
31,Yes,Yes,{1.0}
32,Yes,Yes,{1.0}
33,Yes,Yes,{1.0}
34,Yes,Yes,{1.0}
35,Yes,Yes,{1.0}
36,Yes,Yes,{1.0}
37,Yes,Yes,{1.0}
38,No,Yes,{5.0}
39,Yes,Yes,{1.0}
40,Yes,Yes,{1.0}
41,Yes,Yes,{1.0}
42,Yes,Yes,{1.0}
43,Yes,Yes,{1.0}
44,Yes,Yes,{1.0}
45,Yes,Yes,{1.0}
46,Yes,Yes,{1.0}
47,Yes,Yes,{1.0}
48,Yes,Yes,{1.0}
49,Yes,Yes,{1.0}
50,Yes,Yes,{1.0}
51,Yes,Yes,{1.0}
52,Yes,Yes,{1.0}
53,Yes,Yes,{1.0}
54,Yes,Yes,{1.0}
55,Yes,Yes,{1.0}
56,Yes,Yes,{1.0}
57,Yes,Yes,{1.0}
58,Yes,Yes,{1.0}
59,Yes,Yes,{1.0}
60,Yes,Yes,{1.0}
61,Yes,Yes,{1.0}
62,Yes,Yes,{1.0}
63,Yes,Yes,{1.0}
64,Yes,Yes,{1.0}
65,Yes,Yes,{1.0}
66,Yes,Yes,{1.0}
67,Yes,Yes,{1.0}
68,Yes,Yes,{1.0}
69,Yes,Yes,{1.0}
70,Yes,Yes,{1.0}
71,Yes,Yes,{1.0}
72,Yes,Yes,{1.0}
73,Yes,Yes,{1.0}
74,Yes,Yes,{1.0}
75,Yes,Yes,{1.0}
76,Yes,Yes,{1.0}
77,Yes,Yes,{1.0}
78,Yes,Yes,{1.0}
79,Yes,Yes,{1.0}
80,Yes,Yes,{1.0}
81,Yes,Yes,{1.0}
82,Yes,Yes,{1.0}
83,Yes,Yes,{1.0}
84,Yes,Yes,{1.0}
85,Yes,Yes,{1.0}
86,Yes,Yes,{1.0}
87,Yes,Yes,{1.0}
88,Yes,Yes,{1.0}
89,Yes,Yes,{1.0}
90,Yes,Yes,{1.0}
91,Yes,Yes,{1.0}
92,Yes,Yes,{1.0}
93,Yes,Yes,{1.0}
94,Yes,Yes,{1.0}
95,Yes,Yes,{1.0}
96,Yes,Yes,{1.0}
97,Yes,Yes,{1.0}
98,Yes,Yes,{1.0}
99,Yes,Yes,{1.0}
100,Yes,Yes,{1.0}
101,Yes,Yes,{1.0}
102,Yes,Yes,{1.0}
103,Yes,Yes,{1.0}
104,Yes,Yes,{1.0}
105,Yes,Yes,{1.0}
106,Yes,Yes,{1.0}
107,Yes,Yes,{1.0}
108,Yes,Yes,{1.0}
109,Yes,Yes,{1.0}
110,Do not know,Do not know,"{1.0, 5.0}"
111,Yes,Yes,{1.0}
112,Yes,Yes,{1.0}
113,Yes,Yes,{1.0}
114,Yes,Yes,{1.0}
115,Yes,Yes,{1.0}
116,Yes,Yes,{1.0}
117,Yes,Yes,{1.0}
118,Yes,Yes,{1.0}
119,Yes,Yes,{1.0}
120,Yes,Yes,{1.0}
121,Yes,Yes,{1.0}
122,Yes,Yes,{1.0}
123,Yes,Yes,{1.0}
124,Yes,Yes,{1.0}
125,Yes,Yes,{1.0}
126,Yes,Yes,{1.0}
127,Yes,Yes,{1.0}
128,Yes,Yes,{1.0}
129,Yes,Yes,{1.0}
130,Yes,Yes,{1.0}
131,Yes,Yes,{1.0}
132,Yes,Yes,{1.0}
133,Yes,Yes,{1.0}
134,Yes,Yes,{1.0}
135,Yes,Yes,{1.0}
136,Yes,Yes,{1.0}
137,Yes,Yes,{1.0}
138,Yes,Yes,{1.0}
139,Yes,Yes,{1.0}
140,Yes,Yes,{1.0}
141,Yes,Yes,{1.0}
142,Yes,Yes,{1.0}
143,Yes,Yes,{1.0}
144,Yes,Yes,{1.0}
145,Yes,Yes,{1.0}
146,Yes,Yes,{1.0}
147,Yes,Yes,{1.0}
148,Yes,Yes,{1.0}
149,Yes,Yes,{1.0}
150,Yes,Yes,{1.0}
151,Yes,Yes,{1.0}
152,Yes,Yes,{1.0}
153,Yes,Yes,{1.0}
154,Yes,Yes,{1.0}
155,Yes,Yes,{1.0}
156,Yes,Yes,{1.0}
157,Yes,Yes,{1.0}
158,Yes,Yes,{1.0}
159,No,Yes,{2.0}
160,Yes,Yes,{1.0}
161,Yes,Yes,{1.0}
162,Yes,Yes,{1.0}
163,Yes,Yes,{1.0}
164,Yes,Yes,{1.0}
165,Yes,Yes,{1.0}
166,Yes,Yes,{1.0}
167,Yes,Yes,{1.0}
168,Yes,Yes,{1.0}
169,Yes,Yes,{1.0}
170,Yes,Yes,{1.0}
171,Yes,Yes,{1.0}
172,Yes,Yes,{1.0}
173,Yes,Yes,{1.0}
174,Yes,Yes,{1.0}
175,Yes,Yes,{1.0}
176,Yes,Yes,{1.0}
177,Yes,Yes,{1.0}
178,Yes,Yes,{1.0}
179,Yes,Yes,{1.0}
180,Yes,Yes,{1.0}
181,Yes,Yes,{1.0}
182,Yes,Yes,{1.0}
183,Yes,Yes,{1.0}
184,Yes,Yes,{1.0}
185,Yes,Yes,{1.0}
186,Yes,Yes,{1.0}
187,Yes,Yes,{1.0}
188,Yes,Yes,{1.0}
189,Yes,Yes,{1.0}
190,Do not know,Do not know,"{1.0, 3.0}"
191,Yes,Yes,{1.0}
192,Yes,Yes,{1.0}
193,Yes,Yes,{1.0}
194,Yes,Yes,{1.0}
195,Yes,Yes,{1.0}
196,Yes,Yes,{1.0}
197,Yes,Yes,{1.0}
198,Yes,Yes,{1.0}
199,Yes,Yes,{1.0}
200,Yes,Yes,{1.0}
201,Yes,Yes,{1.0}
202,Yes,Yes,{1.0}
203,Yes,Yes,{1.0}
204,Yes,Yes,{1.0}
205,Yes,Yes,{1.0}
206,Yes,Yes,{1.0}
207,Yes,Yes,{1.0}
208,Yes,Yes,{1.0}
209,Yes,Yes,{1.0}
210,Yes,Yes,{1.0}
211,Yes,Yes,{1.0}
212,Yes,Yes,{1.0}
213,Yes,Yes,{1.0}
214,Yes,Yes,{1.0}
215,Yes,Yes,{1.0}
216,Yes,Yes,{1.0}
217,Yes,Yes,{1.0}
218,Yes,Yes,{1.0}
219,Yes,Yes,{1.0}
220,Yes,Yes,{1.0}
221,Yes,Yes,{1.0}
222,Yes,Yes,{1.0}
223,Yes,Yes,{1.0}
224,Yes,Yes,{1.0}
225,Yes,Yes,{1.0}
226,Yes,Yes,{1.0}
227,Yes,Yes,{1.0}
228,Yes,Yes,{1.0}
229,Yes,Yes,{1.0}
230,Yes,Yes,{1.0}
231,Yes,Yes,{1.0}
232,Yes,Yes,{1.0}
233,Yes,Yes,{1.0}
234,Yes,Yes,{1.0}
235,Yes,Yes,{1.0}
236,Yes,Yes,{1.0}
237,Yes,Yes,{1.0}
238,Yes,Yes,{1.0}
239,Yes,Yes,{1.0}
240,Yes,Yes,{1.0}
241,Yes,Yes,{1.0}
242,Yes,Yes,{1.0}
243,Yes,Yes,{1.0}
244,Yes,Yes,{1.0}
245,Yes,Yes,{1.0}
246,Yes,Yes,{1.0}
247,Yes,Yes,{1.0}
248,Yes,Yes,{1.0}
249,Yes,Yes,{1.0}
250,Yes,Yes,{1.0}
251,Yes,Yes,{1.0}
252,Yes,Yes,{1.0}
253,Yes,Yes,{1.0}
254,Yes,Yes,{1.0}
255,Yes,Yes,{1.0}
256,Yes,Yes,{1.0}
257,Yes,Yes,{1.0}
258,Yes,Yes,{1.0}
259,Yes,Yes,{1.0}
260,Yes,Yes,{1.0}
261,Yes,Yes,{1.0}
262,Yes,Yes,{1.0}
263,Yes,Yes,{1.0}
264,Yes,Yes,{1.0}
265,Yes,Yes,{1.0}
266,Yes,Yes,{1.0}
267,Yes,Yes,{1.0}
268,Yes,Yes,{1.0}
269,Yes,Yes,{1.0}
270,Yes,Yes,{1.0}
271,Yes,Yes,{1.0}
272,Yes,Yes,{1.0}
273,Yes,Yes,{1.0}
274,Yes,Yes,{1.0}
275,Yes,Yes,{1.0}
276,Yes,Yes,{1.0}
277,Yes,Yes,{1.0}
278,Yes,Yes,{1.0}
279,Yes,Yes,{1.0}
280,Yes,Yes,{1.0}
281,Yes,Yes,{1.0}
282,Yes,Yes,{1.0}
283,Yes,Yes,{1.0}
284,Yes,Yes,{1.0}
285,Yes,Yes,{1.0}
286,Yes,Yes,{1.0}
287,Yes,Yes,{1.0}
