,Robust,Stable,Classification
0,Do not know,Do not know,"{1.0, 3.0, 4.0, 5.0, 6.0}"
1,Do not know,Do not know,"{1.0, 5.0}"
2,Do not know,Do not know,"{1.0, 5.0}"
3,Do not know,Do not know,"{1.0, 5.0}"
4,Yes,Yes,{1.0}
5,Yes,Yes,{1.0}
6,Do not know,Do not know,"{1.0, 5.0}"
7,Do not know,Do not know,"{1.0, 5.0}"
8,Do not know,Do not know,"{1.0, 5.0}"
9,Do not know,Do not know,"{1.0, 5.0}"
10,Yes,Yes,{1.0}
11,Yes,Yes,{1.0}
12,Do not know,Do not know,"{1.0, 5.0}"
13,Yes,Yes,{1.0}
14,Yes,Yes,{1.0}
15,Yes,Yes,{1.0}
16,Do not know,Do not know,"{1.0, 5.0}"
17,Yes,Yes,{1.0}
18,Yes,Yes,{1.0}
19,Yes,Yes,{1.0}
20,Yes,Yes,{1.0}
21,Do not know,Do not know,"{1.0, 5.0}"
22,Yes,Yes,{1.0}
23,Yes,Yes,{1.0}
24,Yes,Yes,{1.0}
25,Yes,Yes,{1.0}
26,Yes,Yes,{1.0}
27,Yes,Yes,{1.0}
28,Yes,Yes,{1.0}
29,Do not know,Do not know,"{1.0, 5.0}"
30,Yes,Yes,{1.0}
31,Yes,Yes,{1.0}
32,Yes,Yes,{1.0}
33,Do not know,Do not know,"{1.0, 5.0}"
34,Yes,Yes,{1.0}
35,Yes,Yes,{1.0}
36,Yes,Yes,{1.0}
37,Do not know,Do not know,"{1.0, 4.0, 5.0}"
38,Do not know,Do not know,"{1.0, 4.0, 5.0}"
39,Yes,Yes,{1.0}
40,Yes,Yes,{1.0}
41,Do not know,Do not know,"{1.0, 5.0}"
42,Yes,Yes,{1.0}
43,Do not know,Do not know,"{1.0, 5.0}"
44,Yes,Yes,{1.0}
45,Yes,Yes,{1.0}
46,Yes,Yes,{1.0}
47,Yes,Yes,{1.0}
48,Do not know,Do not know,"{1.0, 4.0, 5.0}"
49,Yes,Yes,{1.0}
50,Yes,Yes,{1.0}
51,Do not know,Do not know,"{1.0, 4.0, 5.0}"
52,Do not know,Do not know,"{1.0, 3.0, 4.0, 5.0}"
53,Do not know,Do not know,"{1.0, 5.0}"
54,Do not know,Do not know,"{1.0, 3.0, 5.0}"
55,Do not know,Do not know,"{1.0, 4.0, 5.0, 6.0}"
56,Yes,Yes,{1.0}
57,Do not know,Do not know,"{1.0, 5.0}"
58,Yes,Yes,{1.0}
59,Do not know,Do not know,"{1.0, 5.0}"
60,Do not know,Do not know,"{1.0, 5.0}"
61,Do not know,Do not know,"{1.0, 5.0}"
62,Yes,Yes,{1.0}
63,Yes,Yes,{1.0}
64,Do not know,Do not know,"{1.0, 5.0}"
65,Do not know,Do not know,"{1.0, 5.0}"
66,Yes,Yes,{1.0}
67,Yes,Yes,{1.0}
68,Do not know,Do not know,"{1.0, 5.0}"
69,Yes,Yes,{1.0}
70,Yes,Yes,{1.0}
71,Yes,Yes,{1.0}
72,Yes,Yes,{1.0}
73,Yes,Yes,{1.0}
74,Yes,Yes,{1.0}
75,Yes,Yes,{1.0}
76,Yes,Yes,{1.0}
77,Yes,Yes,{1.0}
78,Yes,Yes,{1.0}
79,Yes,Yes,{1.0}
80,Do not know,Do not know,"{1.0, 5.0}"
81,Yes,Yes,{1.0}
82,Yes,Yes,{1.0}
83,Do not know,Do not know,"{1.0, 4.0, 5.0}"
84,Yes,Yes,{1.0}
85,Do not know,Do not know,"{1.0, 4.0, 5.0}"
86,Do not know,Do not know,"{1.0, 4.0, 5.0}"
87,Do not know,Do not know,"{1.0, 3.0, 4.0, 5.0}"
88,Do not know,Do not know,"{1.0, 5.0}"
89,Do not know,Do not know,"{1.0, 5.0}"
90,Yes,Yes,{1.0}
91,Do not know,Do not know,"{1.0, 5.0}"
92,Do not know,Do not know,"{1.0, 5.0}"
93,Do not know,Do not know,"{1.0, 5.0}"
94,Do not know,Do not know,"{1.0, 5.0}"
95,Do not know,Do not know,"{1.0, 5.0}"
96,Yes,Yes,{1.0}
97,Yes,Yes,{1.0}
98,Yes,Yes,{1.0}
99,Do not know,Do not know,"{1.0, 5.0}"
100,Do not know,Do not know,"{1.0, 5.0}"
101,Yes,Yes,{1.0}
102,Do not know,Do not know,"{1.0, 5.0}"
103,Yes,Yes,{1.0}
104,Yes,Yes,{1.0}
105,Yes,Yes,{1.0}
106,Do not know,Do not know,"{1.0, 5.0}"
107,Yes,Yes,{1.0}
108,Do not know,Do not know,"{1.0, 5.0}"
109,Do not know,Do not know,"{1.0, 5.0}"
110,Do not know,Do not know,"{1.0, 2.0, 5.0}"
111,Yes,Yes,{1.0}
112,Yes,Yes,{1.0}
113,Yes,Yes,{1.0}
114,Yes,Yes,{1.0}
115,Yes,Yes,{1.0}
116,Yes,Yes,{1.0}
117,Yes,Yes,{1.0}
118,Yes,Yes,{1.0}
119,Yes,Yes,{1.0}
120,Yes,Yes,{1.0}
121,Yes,Yes,{1.0}
122,Yes,Yes,{1.0}
123,Yes,Yes,{1.0}
124,Yes,Yes,{1.0}
125,Yes,Yes,{1.0}
126,Yes,Yes,{1.0}
127,Yes,Yes,{1.0}
128,Yes,Yes,{1.0}
129,Yes,Yes,{1.0}
130,Yes,Yes,{1.0}
131,Yes,Yes,{1.0}
132,Yes,Yes,{1.0}
133,Do not know,Do not know,"{1.0, 4.0, 5.0}"
134,Do not know,Do not know,"{1.0, 4.0, 5.0}"
135,Yes,Yes,{1.0}
136,Do not know,Do not know,"{1.0, 4.0, 5.0}"
137,Do not know,Do not know,"{1.0, 5.0}"
138,Yes,Yes,{1.0}
139,Do not know,Do not know,"{1.0, 5.0}"
140,Yes,Yes,{1.0}
141,Yes,Yes,{1.0}
142,Yes,Yes,{1.0}
143,Yes,Yes,{1.0}
144,Yes,Yes,{1.0}
145,Yes,Yes,{1.0}
146,Yes,Yes,{1.0}
147,Yes,Yes,{1.0}
148,Yes,Yes,{1.0}
149,Do not know,Do not know,"{1.0, 4.0, 5.0}"
150,Do not know,Do not know,"{1.0, 4.0, 5.0, 6.0}"
151,Do not know,Do not know,"{1.0, 5.0}"
152,Do not know,Do not know,"{1.0, 5.0}"
153,Do not know,Do not know,"{1.0, 4.0, 5.0}"
154,Do not know,Do not know,"{1.0, 3.0, 4.0, 5.0, 6.0}"
155,Do not know,Do not know,"{1.0, 5.0}"
156,Do not know,Do not know,"{1.0, 4.0, 5.0}"
157,Do not know,Do not know,"{1.0, 5.0}"
158,Do not know,Do not know,"{1.0, 5.0}"
159,Do not know,Do not know,"{1.0, 2.0, 5.0}"
160,Do not know,Do not know,"{1.0, 5.0}"
161,Yes,Yes,{1.0}
162,Do not know,Do not know,"{1.0, 4.0, 5.0}"
163,Do not know,Do not know,"{1.0, 5.0}"
164,Yes,Yes,{1.0}
165,Yes,Yes,{1.0}
166,Do not know,Do not know,"{1.0, 5.0}"
167,Yes,Yes,{1.0}
168,Yes,Yes,{1.0}
169,Do not know,Do not know,"{1.0, 5.0}"
170,Yes,Yes,{1.0}
171,Yes,Yes,{1.0}
172,Yes,Yes,{1.0}
173,Yes,Yes,{1.0}
174,Do not know,Do not know,"{1.0, 5.0}"
175,Yes,Yes,{1.0}
176,Do not know,Do not know,"{1.0, 5.0}"
177,Yes,Yes,{1.0}
178,Yes,Yes,{1.0}
179,Yes,Yes,{1.0}
180,Yes,Yes,{1.0}
181,Yes,Yes,{1.0}
182,Yes,Yes,{1.0}
183,Yes,Yes,{1.0}
184,Yes,Yes,{1.0}
185,Yes,Yes,{1.0}
186,Do not know,Do not know,"{1.0, 4.0, 5.0}"
187,Do not know,Do not know,"{1.0, 4.0, 5.0}"
188,Yes,Yes,{1.0}
189,Do not know,Do not know,"{1.0, 4.0, 5.0, 6.0}"
190,Do not know,Do not know,"{1.0, 3.0, 5.0, 6.0}"
191,Yes,Yes,{1.0}
192,Do not know,Do not know,"{1.0, 4.0, 5.0}"
193,Do not know,Do not know,"{1.0, 4.0, 5.0}"
194,Yes,Yes,{1.0}
195,Do not know,Do not know,"{1.0, 4.0, 5.0}"
196,Yes,Yes,{1.0}
197,Do not know,Do not know,"{1.0, 5.0}"
198,Do not know,Do not know,"{1.0, 5.0}"
199,Do not know,Do not know,"{1.0, 3.0, 4.0, 5.0}"
200,Do not know,Do not know,"{1.0, 5.0}"
201,Do not know,Do not know,"{1.0, 5.0}"
202,Do not know,Do not know,"{1.0, 4.0, 5.0}"
203,Do not know,Do not know,"{1.0, 5.0}"
204,Do not know,Do not know,"{1.0, 5.0}"
205,Do not know,Do not know,"{1.0, 5.0}"
206,Do not know,Do not know,"{1.0, 5.0}"
207,Do not know,Do not know,"{1.0, 5.0}"
208,Do not know,Do not know,"{1.0, 5.0}"
209,Do not know,Do not know,"{1.0, 4.0, 5.0}"
210,Yes,Yes,{1.0}
211,Yes,Yes,{1.0}
212,Yes,Yes,{1.0}
213,Yes,Yes,{1.0}
214,Do not know,Do not know,"{1.0, 4.0, 5.0}"
215,Do not know,Do not know,"{1.0, 5.0}"
216,Do not know,Do not know,"{1.0, 5.0}"
217,Yes,Yes,{1.0}
218,Yes,Yes,{1.0}
219,Do not know,Do not know,"{1.0, 5.0}"
220,Yes,Yes,{1.0}
221,Do not know,Do not know,"{1.0, 5.0}"
222,Yes,Yes,{1.0}
223,Yes,Yes,{1.0}
224,Yes,Yes,{1.0}
225,Yes,Yes,{1.0}
226,Yes,Yes,{1.0}
227,Yes,Yes,{1.0}
228,Yes,Yes,{1.0}
229,Do not know,Do not know,"{1.0, 5.0}"
230,Yes,Yes,{1.0}
231,Yes,Yes,{1.0}
232,Do not know,Do not know,"{1.0, 5.0}"
