,Robust,Stable,Classification
0,Do not know,Do not know,"{2.0, 4.0}"
1,Do not know,Do not know,"{2.0, 4.0}"
2,Do not know,Do not know,"{2.0, 4.0}"
3,Do not know,Do not know,"{2.0, 4.0}"
4,Do not know,Do not know,"{2.0, 4.0}"
5,Yes,Yes,{4.0}
6,Do not know,Do not know,"{2.0, 4.0}"
7,Do not know,Do not know,"{2.0, 4.0}"
8,Do not know,Do not know,"{2.0, 4.0}"
9,Do not know,Do not know,"{2.0, 4.0}"
10,Do not know,Do not know,"{2.0, 4.0}"
11,Do not know,Do not know,"{2.0, 4.0}"
12,Do not know,Do not know,"{2.0, 4.0}"
13,Do not know,Do not know,"{2.0, 4.0}"
14,Do not know,Do not know,"{2.0, 4.0}"
15,Do not know,Do not know,"{2.0, 4.0}"
16,Do not know,Do not know,"{2.0, 4.0}"
17,Do not know,Do not know,"{2.0, 4.0}"
18,Do not know,Do not know,"{2.0, 4.0}"
19,Do not know,Do not know,"{2.0, 4.0}"
20,Do not know,Do not know,"{2.0, 4.0}"
21,Do not know,Do not know,"{2.0, 4.0}"
22,Do not know,Do not know,"{2.0, 4.0}"
23,Do not know,Do not know,"{2.0, 4.0}"
24,Do not know,Do not know,"{2.0, 4.0}"
25,Do not know,Do not know,"{2.0, 4.0}"
26,Do not know,Do not know,"{2.0, 4.0}"
27,Do not know,Do not know,"{2.0, 4.0}"
28,Do not know,Do not know,"{2.0, 4.0}"
29,Do not know,Do not know,"{2.0, 4.0}"
30,Do not know,Do not know,"{2.0, 4.0}"
31,Do not know,Do not know,"{2.0, 4.0}"
32,Do not know,Do not know,"{2.0, 4.0}"
33,Do not know,Do not know,"{2.0, 4.0}"
34,Do not know,Do not know,"{2.0, 4.0}"
35,Yes,Yes,{4.0}
36,Do not know,Do not know,"{2.0, 4.0}"
37,Do not know,Do not know,"{2.0, 4.0}"
38,Do not know,Do not know,"{2.0, 4.0}"
39,Do not know,Do not know,"{2.0, 4.0}"
40,Do not know,Do not know,"{2.0, 4.0}"
41,Do not know,Do not know,"{2.0, 4.0}"
42,Yes,Yes,{4.0}
43,Do not know,Do not know,"{2.0, 4.0}"
