,Robust,Stable,Classification
0,Yes,Yes,{-1.0}
1,Yes,Yes,{1.0}
2,Yes,Yes,{-1.0}
3,Do not know,Do not know,"{1.0, -1.0}"
4,Yes,Yes,{1.0}
5,Yes,Yes,{-1.0}
6,Yes,Yes,{-1.0}
7,Yes,Yes,{-1.0}
8,Yes,Yes,{-1.0}
9,Yes,Yes,{-1.0}
10,Yes,Yes,{-1.0}
11,Do not know,Do not know,"{1.0, -1.0}"
12,Do not know,Do not know,"{1.0, -1.0}"
13,Do not know,Do not know,"{1.0, -1.0}"
14,Yes,Yes,{-1.0}
15,Yes,Yes,{-1.0}
16,Do not know,Do not know,"{1.0, -1.0}"
17,Yes,Yes,{1.0}
18,Do not know,Do not know,"{1.0, -1.0}"
19,Yes,Yes,{-1.0}
20,Do not know,Do not know,"{1.0, -1.0}"
21,Do not know,Do not know,"{1.0, -1.0}"
22,Yes,Yes,{-1.0}
23,Do not know,Do not know,"{1.0, -1.0}"
24,Do not know,Do not know,"{1.0, -1.0}"
25,Yes,Yes,{-1.0}
26,Yes,Yes,{-1.0}
27,Yes,Yes,{1.0}
28,Yes,Yes,{1.0}
29,Yes,Yes,{-1.0}
30,Do not know,Do not know,"{1.0, -1.0}"
31,Yes,Yes,{-1.0}
32,Yes,Yes,{1.0}
33,Do not know,Do not know,"{1.0, -1.0}"
34,Yes,Yes,{-1.0}
35,Yes,Yes,{-1.0}
36,Yes,Yes,{-1.0}
37,Yes,Yes,{-1.0}
38,Yes,Yes,{-1.0}
39,Yes,Yes,{1.0}
40,Do not know,Do not know,"{1.0, -1.0}"
41,Yes,Yes,{-1.0}
42,Yes,Yes,{1.0}
43,Yes,Yes,{1.0}
44,Do not know,Do not know,"{1.0, -1.0}"
45,Yes,Yes,{-1.0}
46,Do not know,Do not know,"{1.0, -1.0}"
47,Yes,Yes,{1.0}
48,Do not know,Do not know,"{1.0, -1.0}"
49,Yes,Yes,{1.0}
50,Yes,Yes,{1.0}
51,Yes,Yes,{-1.0}
52,Do not know,Do not know,"{1.0, -1.0}"
53,Yes,Yes,{-1.0}
54,Do not know,Do not know,"{1.0, -1.0}"
55,Yes,Yes,{-1.0}
56,Yes,Yes,{-1.0}
57,Yes,Yes,{-1.0}
58,Do not know,Do not know,"{1.0, -1.0}"
59,Yes,Yes,{-1.0}
60,Do not know,Do not know,"{1.0, -1.0}"
61,Do not know,Do not know,"{1.0, -1.0}"
62,Yes,Yes,{-1.0}
63,Yes,Yes,{-1.0}
64,Do not know,Do not know,"{1.0, -1.0}"
65,Do not know,Do not know,"{1.0, -1.0}"
66,Yes,Yes,{-1.0}
67,Yes,Yes,{1.0}
68,Yes,Yes,{-1.0}
69,Yes,Yes,{1.0}
70,Do not know,Do not know,"{1.0, -1.0}"
71,Do not know,Do not know,"{1.0, -1.0}"
72,Yes,Yes,{-1.0}
73,Do not know,Do not know,"{1.0, -1.0}"
74,Yes,Yes,{1.0}
75,Yes,Yes,{-1.0}
76,Yes,Yes,{-1.0}
77,Do not know,Do not know,"{1.0, -1.0}"
78,Yes,Yes,{1.0}
79,Yes,Yes,{-1.0}
80,Yes,Yes,{1.0}
81,Yes,Yes,{-1.0}
82,Yes,Yes,{1.0}
83,Yes,Yes,{-1.0}
84,Do not know,Do not know,"{1.0, -1.0}"
85,Do not know,Do not know,"{1.0, -1.0}"
86,Yes,Yes,{1.0}
87,Do not know,Do not know,"{1.0, -1.0}"
88,Yes,Yes,{1.0}
89,Do not know,Do not know,"{1.0, -1.0}"
90,Yes,Yes,{-1.0}
91,Yes,Yes,{1.0}
92,Yes,Yes,{-1.0}
93,Yes,Yes,{-1.0}
94,Yes,Yes,{-1.0}
95,Do not know,Do not know,"{1.0, -1.0}"
96,Yes,Yes,{-1.0}
97,Yes,Yes,{-1.0}
98,Do not know,Do not know,"{1.0, -1.0}"
99,Do not know,Do not know,"{1.0, -1.0}"
100,Do not know,Do not know,"{1.0, -1.0}"
101,Yes,Yes,{-1.0}
102,Yes,Yes,{-1.0}
103,Yes,Yes,{-1.0}
104,Yes,Yes,{-1.0}
105,Do not know,Do not know,"{1.0, -1.0}"
106,Yes,Yes,{-1.0}
107,Do not know,Do not know,"{1.0, -1.0}"
108,Yes,Yes,{1.0}
109,Yes,Yes,{-1.0}
110,Yes,Yes,{1.0}
111,Yes,Yes,{1.0}
112,Yes,Yes,{-1.0}
113,Yes,Yes,{1.0}
114,Yes,Yes,{-1.0}
115,Yes,Yes,{-1.0}
116,Yes,Yes,{-1.0}
117,Yes,Yes,{-1.0}
118,Yes,Yes,{-1.0}
119,Yes,Yes,{-1.0}
120,Do not know,Do not know,"{1.0, -1.0}"
121,Yes,Yes,{1.0}
122,Yes,Yes,{-1.0}
123,Yes,Yes,{-1.0}
124,Yes,Yes,{-1.0}
125,Yes,Yes,{-1.0}
126,Yes,Yes,{-1.0}
127,Do not know,Do not know,"{1.0, -1.0}"
128,Yes,Yes,{-1.0}
129,Yes,Yes,{-1.0}
130,Do not know,Do not know,"{1.0, -1.0}"
131,Do not know,Do not know,"{1.0, -1.0}"
132,Yes,Yes,{-1.0}
133,Do not know,Do not know,"{1.0, -1.0}"
134,Yes,Yes,{-1.0}
135,Yes,Yes,{-1.0}
136,Do not know,Do not know,"{1.0, -1.0}"
137,Do not know,Do not know,"{1.0, -1.0}"
138,Yes,Yes,{-1.0}
139,Yes,Yes,{-1.0}
140,Yes,Yes,{-1.0}
141,Yes,Yes,{-1.0}
142,Yes,Yes,{-1.0}
143,Do not know,Do not know,"{1.0, -1.0}"
144,Yes,Yes,{-1.0}
145,Yes,Yes,{-1.0}
146,Do not know,Do not know,"{1.0, -1.0}"
147,Do not know,Do not know,"{1.0, -1.0}"
148,Yes,Yes,{-1.0}
149,Yes,Yes,{-1.0}
150,Do not know,Do not know,"{1.0, -1.0}"
151,Do not know,Do not know,"{1.0, -1.0}"
152,Do not know,Do not know,"{1.0, -1.0}"
153,Yes,Yes,{1.0}
154,Yes,Yes,{-1.0}
155,Do not know,Do not know,"{1.0, -1.0}"
156,Do not know,Do not know,"{1.0, -1.0}"
157,Do not know,Do not know,"{1.0, -1.0}"
158,Do not know,Do not know,"{1.0, -1.0}"
159,Yes,Yes,{-1.0}
160,Do not know,Do not know,"{1.0, -1.0}"
161,Do not know,Do not know,"{1.0, -1.0}"
162,Yes,Yes,{-1.0}
163,Yes,Yes,{-1.0}
164,Do not know,Do not know,"{1.0, -1.0}"
165,Yes,Yes,{1.0}
166,Yes,Yes,{1.0}
167,Yes,Yes,{-1.0}
168,Do not know,Do not know,"{1.0, -1.0}"
169,Yes,Yes,{-1.0}
170,Yes,Yes,{-1.0}
171,Yes,Yes,{-1.0}
172,Yes,Yes,{-1.0}
173,Yes,Yes,{1.0}
174,Yes,Yes,{-1.0}
175,Yes,Yes,{-1.0}
176,Do not know,Do not know,"{1.0, -1.0}"
177,Do not know,Do not know,"{1.0, -1.0}"
178,Do not know,Do not know,"{1.0, -1.0}"
179,Yes,Yes,{-1.0}
180,Yes,Yes,{-1.0}
181,Yes,Yes,{-1.0}
182,Yes,Yes,{-1.0}
183,Yes,Yes,{-1.0}
184,Do not know,Do not know,"{1.0, -1.0}"
185,Yes,Yes,{1.0}
186,Yes,Yes,{-1.0}
187,Yes,Yes,{-1.0}
188,Yes,Yes,{-1.0}
189,Yes,Yes,{-1.0}
190,Yes,Yes,{-1.0}
191,Do not know,Do not know,"{1.0, -1.0}"
192,Yes,Yes,{-1.0}
193,Yes,Yes,{-1.0}
194,Do not know,Do not know,"{1.0, -1.0}"
195,Do not know,Do not know,"{1.0, -1.0}"
196,Yes,Yes,{1.0}
197,Yes,Yes,{1.0}
198,Yes,Yes,{1.0}
199,Do not know,Do not know,"{1.0, -1.0}"
200,Do not know,Do not know,"{1.0, -1.0}"
201,Yes,Yes,{-1.0}
202,Yes,Yes,{1.0}
203,Yes,Yes,{-1.0}
204,Yes,Yes,{-1.0}
205,Yes,Yes,{-1.0}
206,Yes,Yes,{-1.0}
207,Yes,Yes,{1.0}
208,Yes,Yes,{-1.0}
209,Yes,Yes,{-1.0}
210,Yes,Yes,{1.0}
211,Yes,Yes,{-1.0}
212,Yes,Yes,{-1.0}
213,Do not know,Do not know,"{1.0, -1.0}"
214,Yes,Yes,{-1.0}
215,Yes,Yes,{-1.0}
216,Yes,Yes,{-1.0}
217,Yes,Yes,{1.0}
218,Yes,Yes,{-1.0}
219,Yes,Yes,{-1.0}
220,Yes,Yes,{-1.0}
221,Do not know,Do not know,"{1.0, -1.0}"
222,Do not know,Do not know,"{1.0, -1.0}"
223,Do not know,Do not know,"{1.0, -1.0}"
224,Yes,Yes,{-1.0}
225,Yes,Yes,{1.0}
226,Yes,Yes,{1.0}
227,Do not know,Do not know,"{1.0, -1.0}"
228,Yes,Yes,{1.0}
229,Yes,Yes,{-1.0}
230,Yes,Yes,{-1.0}
231,Do not know,Do not know,"{1.0, -1.0}"
232,Do not know,Do not know,"{1.0, -1.0}"
233,Yes,Yes,{-1.0}
234,Do not know,Do not know,"{1.0, -1.0}"
235,Yes,Yes,{-1.0}
236,Yes,Yes,{1.0}
237,Yes,Yes,{-1.0}
238,Do not know,Do not know,"{1.0, -1.0}"
