,Robust,Stable,Classification
0,Yes,Yes,{8.0}
1,Yes,Yes,{8.0}
2,Yes,Yes,{8.0}
3,Yes,Yes,{9.0}
4,Yes,Yes,{9.0}
5,Yes,Yes,{1.0}
6,Yes,Yes,{4.0}
7,Yes,Yes,{7.0}
8,Yes,Yes,{9.0}
9,Yes,Yes,{9.0}
10,Yes,Yes,{9.0}
11,Yes,Yes,{0.0}
12,Yes,Yes,{2.0}
13,Yes,Yes,{0.0}
14,Yes,Yes,{5.0}
15,Yes,Yes,{9.0}
16,Yes,Yes,{3.0}
17,Yes,Yes,{7.0}
18,Yes,Yes,{0.0}
19,Yes,Yes,{4.0}
20,Yes,Yes,{6.0}
21,Yes,Yes,{8.0}
22,Yes,Yes,{7.0}
23,Yes,Yes,{6.0}
24,Yes,Yes,{6.0}
25,Yes,Yes,{0.0}
26,Yes,Yes,{4.0}
27,Yes,Yes,{0.0}
28,Yes,Yes,{4.0}
29,Do not know,Do not know,"{1.0, 2.0}"
30,Yes,Yes,{9.0}
31,Yes,Yes,{3.0}
32,Yes,Yes,{5.0}
33,Yes,Yes,{4.0}
34,Yes,Yes,{4.0}
35,Yes,Yes,{1.0}
36,Do not know,Do not know,"{1.0, 2.0}"
37,Yes,Yes,{0.0}
38,Yes,Yes,{9.0}
39,Yes,Yes,{7.0}
40,Yes,Yes,{8.0}
41,No,Yes,{9.0}
42,Yes,Yes,{5.0}
43,Yes,Yes,{6.0}
44,Yes,Yes,{0.0}
45,Yes,Yes,{8.0}
46,Yes,Yes,{2.0}
47,Yes,Yes,{8.0}
48,Yes,Yes,{7.0}
49,Yes,Yes,{8.0}
50,Yes,Yes,{1.0}
51,Yes,Yes,{9.0}
52,Yes,Yes,{5.0}
53,Yes,Yes,{4.0}
54,Yes,Yes,{1.0}
55,Yes,Yes,{2.0}
56,Yes,Yes,{1.0}
57,Yes,Yes,{6.0}
58,Yes,Yes,{0.0}
59,Yes,Yes,{8.0}
60,Yes,Yes,{0.0}
61,Yes,Yes,{8.0}
62,Yes,Yes,{6.0}
63,Yes,Yes,{2.0}
64,Yes,Yes,{9.0}
65,Yes,Yes,{9.0}
66,Yes,Yes,{8.0}
67,Yes,Yes,{0.0}
68,Yes,Yes,{3.0}
69,Yes,Yes,{3.0}
70,Yes,Yes,{8.0}
71,Yes,Yes,{3.0}
72,Do not know,Do not know,"{1.0, 2.0}"
73,Yes,Yes,{1.0}
74,Yes,Yes,{3.0}
75,Yes,Yes,{9.0}
76,Yes,Yes,{5.0}
77,Yes,Yes,{8.0}
78,Yes,Yes,{0.0}
79,Yes,Yes,{8.0}
80,Yes,Yes,{0.0}
81,Yes,Yes,{0.0}
82,Yes,Yes,{9.0}
83,Yes,Yes,{1.0}
84,Yes,Yes,{5.0}
85,Yes,Yes,{1.0}
86,Yes,Yes,{2.0}
87,Yes,Yes,{0.0}
88,Yes,Yes,{8.0}
89,Yes,Yes,{0.0}
90,Yes,Yes,{9.0}
91,Yes,Yes,{7.0}
92,Yes,Yes,{3.0}
93,Yes,Yes,{8.0}
94,Yes,Yes,{2.0}
95,Yes,Yes,{9.0}
96,Yes,Yes,{0.0}
97,Yes,Yes,{8.0}
98,Yes,Yes,{4.0}
99,Yes,Yes,{7.0}
100,Yes,Yes,{6.0}
101,Yes,Yes,{7.0}
102,Yes,Yes,{4.0}
103,Yes,Yes,{1.0}
104,Yes,Yes,{7.0}
105,Yes,Yes,{9.0}
106,Yes,Yes,{5.0}
107,Yes,Yes,{1.0}
108,Yes,Yes,{3.0}
109,Yes,Yes,{1.0}
110,Yes,Yes,{1.0}
111,Yes,Yes,{3.0}
112,Yes,Yes,{7.0}
113,Yes,Yes,{7.0}
114,Yes,Yes,{7.0}
115,Yes,Yes,{7.0}
116,Yes,Yes,{5.0}
117,Yes,Yes,{3.0}
118,Yes,Yes,{8.0}
119,Yes,Yes,{1.0}
120,Yes,Yes,{6.0}
121,Yes,Yes,{6.0}
122,Yes,Yes,{5.0}
123,Yes,Yes,{3.0}
124,Yes,Yes,{0.0}
125,Yes,Yes,{2.0}
126,Yes,Yes,{5.0}
127,Yes,Yes,{4.0}
128,Yes,Yes,{0.0}
129,Yes,Yes,{7.0}
130,Yes,Yes,{4.0}
131,Yes,Yes,{3.0}
132,Yes,Yes,{8.0}
133,Yes,Yes,{1.0}
134,Yes,Yes,{4.0}
135,Do not know,Do not know,"{1.0, 7.0}"
136,Yes,Yes,{4.0}
137,Yes,Yes,{0.0}
138,Yes,Yes,{5.0}
139,Yes,Yes,{2.0}
140,Yes,Yes,{0.0}
141,Yes,Yes,{3.0}
142,Yes,Yes,{2.0}
143,Yes,Yes,{0.0}
144,Yes,Yes,{8.0}
145,Yes,Yes,{2.0}
146,Do not know,Do not know,"{1.0, 2.0}"
147,Yes,Yes,{1.0}
148,Yes,Yes,{4.0}
149,Yes,Yes,{4.0}
150,Yes,Yes,{0.0}
151,Yes,Yes,{7.0}
152,Yes,Yes,{1.0}
153,Yes,Yes,{6.0}
154,Yes,Yes,{2.0}
155,Yes,Yes,{8.0}
156,Yes,Yes,{2.0}
157,Yes,Yes,{4.0}
158,Yes,Yes,{5.0}
159,Yes,Yes,{1.0}
160,Yes,Yes,{5.0}
161,Yes,Yes,{5.0}
162,Yes,Yes,{9.0}
163,Yes,Yes,{0.0}
164,Yes,Yes,{2.0}
165,Yes,Yes,{4.0}
166,Yes,Yes,{1.0}
167,Yes,Yes,{3.0}
168,Yes,Yes,{0.0}
169,Yes,Yes,{9.0}
170,Do not know,Do not know,"{9.0, 3.0}"
171,Yes,Yes,{2.0}
172,Yes,Yes,{6.0}
173,Yes,Yes,{6.0}
174,Yes,Yes,{8.0}
175,Yes,Yes,{5.0}
176,Yes,Yes,{3.0}
177,Yes,Yes,{1.0}
