,Robust,Stable,Classification
0,Do not know,Do not know,"{8.0, 5.0}"
1,Do not know,Do not know,"{8.0, 5.0}"
2,Do not know,Do not know,"{0.0, 8.0}"
3,Do not know,Do not know,"{9.0, 4.0, 5.0}"
4,Do not know,Do not know,"{3.0, 4.0, 5.0, 7.0, 9.0}"
5,Do not know,Do not know,"{1.0, 2.0, 5.0}"
6,Do not know,Do not know,"{9.0, 4.0}"
7,Do not know,Do not know,"{1.0, 2.0, 3.0, 4.0, 7.0, 9.0}"
8,Do not know,Do not know,"{1.0, 3.0, 5.0, 9.0}"
9,Do not know,Do not know,"{9.0, 3.0, 5.0}"
10,Do not know,Do not know,"{9.0, 4.0, 5.0}"
11,Yes,Yes,{0.0}
12,Do not know,Do not know,"{1.0, 2.0, 3.0, 7.0}"
13,Yes,Yes,{0.0}
14,Do not know,Do not know,"{9.0, 3.0, 5.0, 6.0}"
15,Do not know,Do not know,"{9.0, 5.0}"
16,Do not know,Do not know,"{1.0, 3.0}"
17,Do not know,Do not know,"{1.0, 2.0, 3.0, 4.0, 7.0, 9.0}"
18,Yes,Yes,{0.0}
19,Yes,Yes,{4.0}
20,Yes,Yes,{6.0}
21,Do not know,Do not know,"{0.0, 8.0}"
22,Do not know,Do not know,"{2.0, 7.0}"
23,Yes,Yes,{6.0}
24,Do not know,Do not know,"{0.0, 6.0}"
25,Yes,Yes,{0.0}
26,Yes,Yes,{4.0}
27,Yes,Yes,{0.0}
28,Yes,Yes,{4.0}
29,Do not know,Do not know,"{1.0, 2.0, 3.0, 7.0}"
30,Do not know,Do not know,"{9.0, 3.0, 5.0}"
31,Do not know,Do not know,"{1.0, 3.0, 5.0, 9.0}"
32,Do not know,Do not know,"{5.0, 6.0}"
33,Do not know,Do not know,"{9.0, 4.0}"
34,Do not know,Do not know,"{9.0, 4.0, 5.0, 6.0}"
35,Do not know,Do not know,"{1.0, 2.0, 7.0}"
36,Do not know,Do not know,"{1.0, 2.0, 3.0, 7.0}"
37,Yes,Yes,{0.0}
38,Do not know,Do not know,"{1.0, 3.0, 5.0, 9.0}"
39,Do not know,Do not know,"{1.0, 2.0, 3.0, 7.0}"
40,Do not know,Do not know,"{8.0, 5.0}"
41,No,Do not know,"{9.0, 4.0, 5.0}"
42,Do not know,Do not know,"{8.0, 5.0, 6.0, 7.0}"
43,Yes,Yes,{6.0}
44,Yes,Yes,{0.0}
45,Yes,Yes,{8.0}
46,Do not know,Do not know,"{1.0, 2.0, 7.0}"
47,Yes,Yes,{8.0}
48,Yes,Yes,{7.0}
49,Do not know,Do not know,"{8.0, 7.0}"
50,Do not know,Do not know,"{1.0, 7.0}"
51,Do not know,Do not know,"{9.0, 3.0, 5.0}"
52,Do not know,Do not know,"{1.0, 3.0, 4.0, 5.0, 9.0}"
53,Do not know,Do not know,"{9.0, 4.0}"
54,Do not know,Do not know,"{1.0, 2.0, 3.0}"
55,Do not know,Do not know,"{1.0, 2.0, 3.0, 7.0}"
56,Do not know,Do not know,"{1.0, 2.0, 5.0}"
57,Do not know,Do not know,"{0.0, 4.0, 6.0}"
58,Yes,Yes,{0.0}
59,Yes,Yes,{8.0}
60,Yes,Yes,{0.0}
61,Do not know,Do not know,"{8.0, 5.0}"
62,Yes,Yes,{6.0}
63,Do not know,Do not know,"{1.0, 2.0, 3.0, 7.0}"
64,Do not know,Do not know,"{9.0, 4.0}"
65,Do not know,Do not know,"{9.0, 3.0, 5.0}"
66,Yes,Yes,{8.0}
67,Yes,Yes,{0.0}
68,Do not know,Do not know,"{1.0, 2.0, 3.0, 7.0}"
69,Do not know,Do not know,"{1.0, 3.0, 5.0}"
70,Do not know,Do not know,"{8.0, 5.0}"
71,Do not know,Do not know,"{1.0, 3.0, 5.0, 7.0, 9.0}"
72,Do not know,Do not know,"{1.0, 2.0, 7.0}"
73,Do not know,Do not know,"{1.0, 2.0}"
74,Do not know,Do not know,"{1.0, 3.0, 5.0, 9.0}"
75,Do not know,Do not know,"{9.0, 4.0, 5.0}"
76,Do not know,Do not know,"{8.0, 5.0, 6.0}"
77,Do not know,Do not know,"{8.0, 5.0, 7.0}"
78,Yes,Yes,{0.0}
79,Do not know,Do not know,"{8.0, 5.0}"
80,Yes,Yes,{0.0}
81,Yes,Yes,{0.0}
82,Do not know,Do not know,"{9.0, 4.0, 5.0}"
