,Robust,Stable,Classification
0,Do not know,Do not know,"{1.0, 4.0}"
1,Do not know,Do not know,"{1.0, 5.0}"
2,Yes,Yes,{1.0}
3,Yes,Yes,{1.0}
4,Yes,Yes,{1.0}
5,Yes,Yes,{1.0}
6,Yes,Yes,{1.0}
7,Yes,Yes,{1.0}
8,Yes,Yes,{1.0}
9,Yes,Yes,{1.0}
10,Yes,Yes,{1.0}
11,Yes,Yes,{1.0}
12,Yes,Yes,{1.0}
13,Yes,Yes,{1.0}
14,Yes,Yes,{1.0}
15,Yes,Yes,{1.0}
16,Yes,Yes,{1.0}
17,Yes,Yes,{1.0}
18,Yes,Yes,{1.0}
19,Yes,Yes,{1.0}
20,Yes,Yes,{1.0}
21,Do not know,Do not know,"{1.0, 5.0}"
22,Yes,Yes,{1.0}
23,Yes,Yes,{1.0}
24,Yes,Yes,{1.0}
25,Yes,Yes,{1.0}
26,Yes,Yes,{1.0}
27,Yes,Yes,{1.0}
28,Yes,Yes,{1.0}
29,Yes,Yes,{1.0}
30,Yes,Yes,{1.0}
31,Yes,Yes,{1.0}
32,Yes,Yes,{1.0}
33,Yes,Yes,{1.0}
34,Yes,Yes,{1.0}
35,Yes,Yes,{1.0}
36,Yes,Yes,{1.0}
37,Do not know,Do not know,"{1.0, 5.0}"
38,Do not know,Do not know,"{1.0, 5.0}"
39,Yes,Yes,{1.0}
40,Yes,Yes,{1.0}
41,Yes,Yes,{1.0}
42,Yes,Yes,{1.0}
43,Yes,Yes,{1.0}
44,Yes,Yes,{1.0}
45,Yes,Yes,{1.0}
46,Yes,Yes,{1.0}
47,Yes,Yes,{1.0}
48,Do not know,Do not know,"{1.0, 5.0}"
49,Yes,Yes,{1.0}
50,Yes,Yes,{1.0}
51,Yes,Yes,{1.0}
52,Do not know,Do not know,"{1.0, 3.0, 4.0, 5.0}"
53,Yes,Yes,{1.0}
54,Do not know,Do not know,"{1.0, 5.0}"
55,Do not know,Do not know,"{1.0, 4.0}"
56,Yes,Yes,{1.0}
57,Do not know,Do not know,"{1.0, 5.0}"
58,Yes,Yes,{1.0}
59,Do not know,Do not know,"{1.0, 5.0}"
60,Yes,Yes,{1.0}
61,Yes,Yes,{1.0}
62,Yes,Yes,{1.0}
63,Yes,Yes,{1.0}
64,Yes,Yes,{1.0}
65,Do not know,Do not know,"{1.0, 5.0}"
66,Yes,Yes,{1.0}
67,Yes,Yes,{1.0}
68,Yes,Yes,{1.0}
69,Yes,Yes,{1.0}
70,Yes,Yes,{1.0}
71,Yes,Yes,{1.0}
72,Yes,Yes,{1.0}
73,Yes,Yes,{1.0}
74,Yes,Yes,{1.0}
75,Yes,Yes,{1.0}
76,Yes,Yes,{1.0}
77,Yes,Yes,{1.0}
78,Yes,Yes,{1.0}
79,Yes,Yes,{1.0}
80,Yes,Yes,{1.0}
81,Yes,Yes,{1.0}
82,Yes,Yes,{1.0}
83,Do not know,Do not know,"{1.0, 5.0}"
84,Yes,Yes,{1.0}
85,Yes,Yes,{1.0}
86,Do not know,Do not know,"{1.0, 5.0}"
87,Do not know,Do not know,"{1.0, 4.0, 5.0}"
88,Yes,Yes,{1.0}
89,Do not know,Do not know,"{1.0, 5.0}"
90,Yes,Yes,{1.0}
91,Yes,Yes,{1.0}
92,Do not know,Do not know,"{1.0, 5.0}"
93,Yes,Yes,{1.0}
94,Yes,Yes,{1.0}
95,Yes,Yes,{1.0}
96,Yes,Yes,{1.0}
97,Yes,Yes,{1.0}
